forgolódik,morgolódik
férgesedik,mérgesedik
férgesedik,kérgesedik
fennszorul,bennszorul
fenntartat,benntartat
fensőséges,bensőséges
fodrosodik,bodrosodik
fodrozódik,bodrozódik
félegyenes,célegyenes
fagyasztás,fogyasztás
falborítás,felborítás
felaranyoz,fölaranyoz
felautózik,fölautózik
felbattyog,fölbattyog
felbillent,fölbillent
felbolydul,fölbolydul
felbolydít,fölbolydít
felbolygat,fölbolygat
felborogat,fölborogat
felbuggyan,fölbuggyan
felbátorít,fölbátorít
felcicomáz,fölcicomáz
felcikázik,fölcikázik
felcsapong,fölcsapong
felcsattan,fölcsattan
felcsattog,fölcsattog
felcsendül,fölcsendül
felcsenget,fölcsenget
felcsillan,fölcsillan
felcsillog,fölcsillog
felcsiszol,fölcsiszol
felcsoszog,fölcsoszog
felcsuklik,fölcsuklik
felcsíptet,fölcsíptet
felcsönget,fölcsönget
felcsörlőz,fölcsörlőz
felcsörtet,fölcsörtet
felcsúszik,fölcsúszik
feldagaszt,földagaszt
feldarabol,földarabol
feldekorál,földekorál
feldörzsöl,földörzsöl
feldübörög,földübörög
feldühödik,földühödik
felemelget,fölemelget
felemleget,fölemleget
felevickél,fölevickél
felfakaszt,fölfakaszt
felfedezte,fölfedezte
felfekszik,fölfekszik
felfogadás,félfogadás
felforrósí,fölforrósí
felfortyan,fölfortyan
felfoszlik,fölfoszlik
felfrissít,fölfrissít
felfrissül,fölfrissül
felfuvaroz,fölfuvaroz
felfénylik,fölfénylik
felfújódik,fölfújódik
felfúvódik,fölfúvódik
felfűződik,fölfűződik
felgyorsul,fölgyorsul
felgyorsít,fölgyorsít
felgyullad,fölgyullad
felgyógyul,fölgyógyul
felgyógyít,fölgyógyít
felgyújtat,fölgyújtat
felgépesít,fölgépesít
felgöngyöl,fölgöngyöl
felhabosít,fölhabosít
felhabozik,fölhabozik
felhabzsol,fölhabzsol
felhajigál,fölhajigál
felhajszol,fölhajszol
felhajózik,fölhajózik
felhangzik,fölhangzik
felhasogat,fölhasogat
felhasznál,fölhasznál
felhegeszt,fölhegeszt
felhorkant,fölhorkant
felhorzsol,fölhorzsol
felhuzigál,fölhuzigál
felháborít,fölháborít
felhívogat,fölhívogat
felhörpint,fölhörpint
felhúzogat,fölhúzogat
felhúzódik,fölhúzódik
felilleszt,fölilleszt
felingerel,fölingerel
felinteget,fölinteget
felinvitál,fölinvitál
felismerte,fölismerte
feljelenik,följelenik
feljogosít,följogosít
feljárogat,följárogat
feljátszik,följátszik
felkacsint,fölkacsint
felkapcsol,fölkapcsol
felkarikáz,fölkarikáz
felkasíroz,fölkasíroz
felkattint,fölkattint
