lyukad,lyukas
fartat,tartat
felelő,telelő
fenyér,tenyér
foldoz,toldoz
furkál,turkál
félidő,télidő
főalak,tőalak
fejsze,vejsze
feszít,veszít
foltos,voltos
fagyás,ragyás
fajzik,rajzik
fecseg,recseg
fejlik,rejlik
fejtet,rejtet
fingat,ringat
fogyás,rogyás
földes,zöldes
fejtés,lejtés
fejtős,lejtős
felejt,lelejt
feltár,leltár
feszül,leszül
fagyás,hagyás
fajzat,hajzat
farács,harács
fattyú,hattyú
felvét,helvét
fiúsít,hiúsít
fagyal,magyal
farkos,markos
felles,melles
feszes,meszes
fordul,mordul
forgás,morgás
férges,mérges
fűszer,műszer
fűszál,műszál
farkos,sarkos
fejlik,sejlik
fejtet,sejtet
fejtés,sejtés
fekély,sekély
felejt,selejt
ferbli,serbli
ferdül,serdül
fújtat,sújtat
fövény,sövény
fanyar,kanyar
fecske,kecske
fenyér,kenyér
fohász,kohász
fondor,kondor
fordul,kordul
forgás,korgás
fókusz,kókusz
fráter,kráter
fényes,kényes
férges,kérges
fürtös,kürtös
felejt,belejt
felelő,belelő
feltér,beltér
fennül,bennül
feszít,beszít
feszül,beszül
fillér,billér
fodros,bodros
fodroz,bodroz
foglár,boglár
foltos,boltos
foltoz,boltoz
fújtat,bújtat
fölény,bölény
firkál,cirkál
foltos,coltos
fermán,germán
folyós,golyós
faktum,paktum
falánk,palánk
ferdít,perdít
ferdül,perdül
fillér,pillér
fincsi,pincsi
fityeg,pityeg
fontos,pontos
fungál,pungál
felelő,delelő
fikció,dikció
félidő,délidő
félkör,délkör
fülled,dülled
feladó,jeladó
felleg,jelleg
feltűz,jeltűz
felzet,jelzet
felölt,jelölt
fogász,jogász
futott,jutott
futtat,juttat
fabula,fibula
fagott,fogott
fagyás,fogyás
fakusz,fikusz
fakusz,fókusz
fartat,firtat
fel-le,föl-le
feladó,föladó
felajz,fölajz
felbőg,fölbőg
felbök,fölbök
felbúg,fölbúg
felbúj,fölbúj
feldob,földob
feldug,földug
feldől,földől
feldöf,földöf
feldúl,földúl
feldűl,földűl
feldűt,földűt
felelő,fülelő
felesz,fölesz
felfal,fölfal
felfed,fölfed
felfog,fölfog
felfon,fölfon
felfut,fölfut
felfér,fölfér
felfőz,fölfőz
felföd,fölföd
felfúj,fölfúj
felfűt,fölfűt
felfűz,fölfűz
felhat,fölhat
felhoz,fölhoz
felhág,fölhág
felhív,fölhív
felhúz,fölhúz
felint,fölint
feljut,följut
feljár,följár
feljön,följön
felkap,fölkap
felkel,fölkel
felken,fölken
felkél,fölkél
felkér,fölkér
felköp,fölköp
felköt,fölköt
fellel,föllel
felles,fölles
fellop,föllop
fellát,föllát
fellép,föllép
fellök,föllök
felmar,fölmar
felmer,fölmer
felmos,fölmos
felmér,fölmér
felnéz,fölnéz
felold,fölold
felrak,fölrak
felráz,fölráz
felrúg,fölrúg
felsír,fölsír
felsül,fölsül
feltol,föltol
feltud,föltud
feltár,föltár
feltát,föltát
feltép,föltép
feltér,föltér
feltét,föltét
feltör,föltör
feltúr,föltúr
feltűr,föltűr
feltűz,föltűz
felver,fölver
felvet,fölvet
felvon,fölvon
felvág,fölvág
felvár,fölvár
felvés,fölvés
felvét,fölvét
felzár,fölzár
felzúg,fölzúg
feláll,föláll
felölt,fölölt
felönt,fölönt
fennül,fönnül
ferdít,fordít
fermán,formán
fiaskó,flaskó
fikusz,fókusz
firkál,furkál
fojtat,fújtat
fuvóka,fúvóka
fészer,fűszer
főrész,fűrész
farönk,fatönk
fedett,felett
fedőkő,fenőkő
fejadó,feladó
fejlik,feslik
fejtet,fektet
fejtet,festet
fejtés,festés
fektet,festet
fekvés,felvés
felség,fenség
fiasít,fiúsít
fifika,fizika
fogott,fonott
fogyás,folyás
fogász,fohász
foltos,fontos
futóka,fuvóka
födött,fölött
fölény,fövény
fűtött,fűzött
fülész,füvész
fürtös,füstös
felbír,felsír
felbök,fellök
felbúg,felrúg
felbúg,felsúg
felbúg,felzúg
felbúj,felfúj
feldűt,felfűt
felező,felsző
felfal,felhal
felfon,felvon
felfut,feljut
felfér,felkér
felfér,felmér
felfér,feltér
felfúr,felkúr
felfúr,feltúr
felfűz,feltűz
felhág,felrág
felhág,felvág
felház,felráz
felhív,felvív
felhős,felsős
felhúz,felzúz
felint,felont
felint,felönt
feljár,feltár
feljár,felvár
feljár,felzár
felkar,felmar
