fasizmus,tasizmus
fejecske,tejecske
felelget,telelget
feleltet,teleltet
főhajtás,tőhajtás
főmondat,tőmondat
feccsent,reccsent
fecsegés,recsegés
fejteget,rejteget
fogyaszt,rogyaszt
fajtalan,zajtalan
főiskola,lőiskola
falcsont,halcsont
fentereg,hentereg
főforrás,hőforrás
fűtőtest,hűtőtest
fájvirág,májvirág
férkőzik,mérkőzik
fűszeres,műszeres
fekélyes,sekélyes
fületlen,sületlen
futódaru,autódaru
fegyelem,kegyelem
fegyelmi,kegyelmi
flastrom,klastrom
foszlott,koszlott
fényelem,kényelem
főlépcső,kőlépcső
főépület,kőépület
felföldi,belföldi
felsőség,belsőség
felülről,belülről
fennakad,bennakad
fennhagy,bennhagy
fenntart,benntart
fensőség,bensőség
feszeget,beszeget
félvonal,célvonal
förgeteg,görgeteg
félvonal,délvonal
fülleszt,dülleszt
felképez,jelképez
felöltet,jelöltet
futtatás,juttatás
fagyaszt,fogyaszt
faiskola,főiskola
falfehér,félfehér
falrakás,felrakás
faltörés,feltörés
falépcső,főlépcső
fegyelem,figyelem
felaggat,fölaggat
felajánl,fölajánl
felaprít,fölaprít
felapróz,fölapróz
felbogoz,fölbogoz
felbomol,fölbomol
felborul,fölborul
felborít,fölborít
felbukik,fölbukik
felbuzog,fölbuzog
felbáláz,fölbáláz
felbámul,fölbámul
felbérel,fölbérel
felbődül,fölbődül
felböfög,fölböfög
felcibál,fölcibál
felcipel,fölcipel
felcitál,fölcitál
felcseng,fölcseng
feldagad,földagad
feldalol,földalol
felderít,földerít
felderül,földerül
feldobog,földobog
feldobol,földobol
feldobál,földobál
feldöcög,földöcög
feldúsul,földúsul
feldúsít,földúsít
feldühít,földühít
felemlít,félemlít
felemlít,fölemlít
felenged,fölenged
felesket,fölesket
feleszik,föleszik
felfakad,fölfakad
felfalat,fölfalat
felfalaz,fölfalaz
felfedez,fölfedez
felfelel,fölfelel
felfesel,fölfesel
felfogad,fölfogad
felfogat,fölfogat
