fejesedik,tejesedik
festetlen,testetlen
fokozódik,tokozódik
foldozgat,toldozgat
fókabunda,rókabunda
fenekedik,menekedik
farkatlan,sarkatlan
futópálya,autópálya
fegyelmez,kegyelmez
fenekedik,kenekedik
fénytelen,kénytelen
fennforog,bennforog
fennlakik,bennlakik
fennmarad,bennmarad
fennragad,bennragad
fodorodik,bodorodik
folyócska,golyócska
fontosság,pontosság
félsziget,délsziget
felmondat,jelmondat
facsoport,főcsoport
falbontás,felbontás
falnivaló,félnivaló
falépítés,felépítés
fatemplom,főtemplom
federáció,föderáció
fegyelmez,figyelmez
feladogat,föladogat
feladódik,föladódik
felakaszt,fölakaszt
felbaktat,fölbaktat
felballag,fölballag
felbecsül,fölbecsül
felberreg,fölberreg
felbillen,fölbillen
felbiztat,fölbiztat
felbocsát,fölbocsát
felbomlik,fölbomlik
felboncol,fölboncol
felbontat,fölbontat
felborzad,fölborzad
felborzol,fölborzol
felbugyog,fölbugyog
felbujtat,fölbujtat
felbukkan,fölbukkan
felbuzdul,fölbuzdul
felbőszít,fölbőszít
felbőszül,fölbőszül
felböffen,fölböffen
felbömböl,fölbömböl
felcammog,fölcammog
felcaplat,fölcaplat
felcifráz,fölcifráz
felcsatol,fölcsatol
felcsavar,fölcsavar
felcserél,fölcserél
felcsigáz,fölcsigáz
felcsihol,fölcsihol
felcsinál,fölcsinál
felcsévél,fölcsévél
felcsíkoz,fölcsíkoz
felcsókol,fölcsókol
felcsődít,fölcsődít
felcímkéz,fölcímkéz
feldajkál,földajkál
feldereng,földereng
feldicsér,földicsér
feldiktál,földiktál
feldobban,földobban
feldrótoz,földrótoz
felduzzad,földuzzad
feldíszít,földíszít
feldöngöl,földöngöl
felemészt,fölemészt
felereget,fölereget
felereszt,fölereszt
felerősít,fölerősít
feleszmél,föleszmél
felfektet,fölfektet
felfeslik,fölfeslik
felfeszít,fölfeszít
felfeszül,fölfeszül
felfigyel,fölfigyel
felfordul,fölfordul
felfordít,fölfordít
felforgat,fölforgat
felforral,fölforral
felfuttat,fölfuttat
felfényez,fölfényez
felfércel,fölfércel
felförmed,fölförmed
felfütyül,fölfütyül
felgerjed,fölgerjed
felgombol,fölgombol
felgondol,fölgondol
felguggol,fölguggol
felgyűlik,fölgyűlik
felgyűrűz,fölgyűrűz
felgörbül,fölgörbül
felgördül,fölgördül
felgörget,fölgörget
felhabzik,fölhabzik
felhajlik,fölhajlik
felhajlít,fölhajlít
felhalmoz,fölhalmoz
felhangol,fölhangol
felhangoz,fölhangoz
felhangzó,félhangzó
felhantol,fölhantol
felharsan,fölharsan
felharsog,fölharsog
felheccel,fölheccel
felhelyez,fölhelyez
felhergel,fölhergel
felhizlal,fölhizlal
felhorgad,fölhorgad
felhorkan,fölhorkan
felhuppan,fölhuppan
felhurcol,fölhurcol
felhördül,fölhördül
felhörpöl,fölhörpöl
felhúzkod,fölhúzkod
felijeszt,fölijeszt
feliratoz,föliratoz
feljajdul,följajdul
feljajgat,följajgat
feljajong,följajong
feljegyez,följegyez
feljelent,följelent
feljuttat,följuttat
felkajtat,fölkajtat
felkapdos,fölkapdos
