fagy,fagyi
fark,farki
fark,farkú
fasz,fasza
fasz,faszi
fasz,faszt
faun,fauna
faág,faágy
fedd,feddő
fejt,fejtő
fejő,fejős
fele,feled
fele,felel
fele,feles
fele,felez
felé,felég
felé,felél
felé,felér
fene,fenet
fent,fenti
fest,festő
fitt,fitty
fiók,fióka
flór,flóra
fogy,fogyó
fogó,fogós
fojt,fojtó
foly,folyó
forr,forró
fotó,fotós
fotó,fotóz
fura,furat
fúró,fúrós
fúvó,fúvós
fájó,fájós
félt,félte
félt,féltő
félő,félős
fény,fényű
férj,férji
fésű,fésűs
főfa,főfal
főúr,főúri
föld,földi
fölé,fölég
fölé,fölél
fölé,fölér
fűző,fűzős
függ,függő
füst,füsti
gyám,gyámi
gyár,gyári
gyár,gyárt
gyep,gyepű
gyón,gyónó
győz,győző
gyúr,gyúró
gyűr,gyűrt
gyűr,gyűrű
tára,tárat
tart,tartó
tata,tatai
taxi,taxis
teke,teker
tele,telek
tele,telel
tele,telep
tele,telex
telt,telte
test,testi
test,testű
tesz,teszt
tévé,tévés
tilt,tiltó
tojó,tojós
toll,tollú
torz,torzó
torz,torzs
tölt,töltő
tudó,tudós
túra,túrat
turf,turfa
túró,túrós
tüdő,tüdős
tűző,tűzőr
idea,idead
ideg,idegi
idei,ideig
idén,idény
idéz,idéző
ifjú,ifjúi
ígér,ígérő
igéz,igéző
ijed,ijedt
illa,illan
illa,illat
imád,imádó
inga,ingat
ipar,ipari
iram,iramú
itat,itató
ivar,ivari
ível,ívelt
ízel,ízelt
vaku,vakul
váll,vállú
való,valód
való,valós
vált,váltó
váró,várós
varr,varró
várt,várta
velő,velős
vért,vértő
vesz,veszt
vétó,vétóz
vita,vitae
vita,vitat
vízi,vízió
volt,volta
vonó,vonós
vonz,vonzó
ráér,ráérő
ráér,ráért
ráfú,ráfúj
ráfú,ráfúr
rágó,rágós
rajt,rajta
ráma,rámar
rang,rangú
ráöl,ráölt
ráüt,ráütő
rázó,rázós
redő,redős
redő,redőz
régi,régió
remi,remiz
rend,rendi
rend,rendű
reng,rengő
rest,resti
riad,riadó
riad,riadt
ring,ringó
rizs,rizsa
ront,rontó
rost,rosta
rugó,rugós
rúgó,rúgós
zene,zenei
zeng,zengő
láng,lángú
lapu,lapul
laza,lazac
lead,leadó
lefő,lefől
lefő,lefőz
lefú,lefúj
lefú,lefúr
légi,légió
légó,légós
leír,leíró
lejt,lejtő
leng,lenge
leng,lengő
lenn,lenni
lent,lenti
leöl,leölt
lesz,lesző
líra,lírai
lógó,lógós
lomb,lombú
lopó,lopós
echó,echós
ejha,ejhaj
ekhó,ekhós
elad,eladó
elei,eleik
elem,elemi
elfő,elfőz
elfú,elfúj
elfú,elfúl
elfú,elfúr
elme,elmer
első,elsős
elél,elélő
elér,elért
előz,előző
elöl,elölt
elüt,elütő
emel,emelt
emel,emelő
emlő,emlős
enyh,enyhe
eped,epeda
erdő,erdős
ered,eredő
eres,eresz
eset,eseti
eset,esett
este,estet
esés,esési
etet,etető
evez,evező
hajó,hajós
hajt,hajtó
hajt,hajtű
hall,hallé
hall,halló
háló,hálóz
hamu,hamus
hang,hanga
hang,hangú
hant,hanta
hant,hanti
hánt,hántó
hány,hányó
harc,harci
hasi,hasis
haza,hazai
hegy,hegyi
hegy,hegyű
héja,héjas
héja,héjaz
hely,helyi
hely,helyt
hint,hinta
hint,hintó
holt,holta
hopp,hoppá
hord,horda
hord,hordó
huny,hunyó
huny,hunyt
húzó,húzós
maga,magas
málé,málés
mari,maris
maró,marós
mars,marsi
megy,megye
méhe,méhes
mell,mellé
mell,mellű
meló,melós
ment,menta
ment,mente
ment,menti
ment,mentő
mérv,mérvű
meze,mezei
mint,minta
moll,molla
mond,monda
mond,mondó
mora,moraj
mozi,mozis
múlt,múlta
muri,muris
