faláb,falábú
farag,faragó
fasor,fasori
fejtő,fejtős
felad,feladó
feled,feledz
felel,felelő
feles,felesz
felez,felező
felfő,felfőz
felfú,felfúj
felfú,felfúr
felhő,felhők
felhő,felhős
felső,felsős
felül,felüli
fertő,fertőz
festő,festői
fizet,fizető
flott,flotta
fogad,fogadó
fogás,fogász
fogás,fogású
fojtó,fojtós
fokol,fokoló
fokoz,fokozó
folyó,folyós
fonat,fonatú
forgó,forgós
forma,formai
franc,franci
frank,frankó
furcs,furcsa
futta,futtat
fárad,fáradt
fáraó,fáraói
fásli,fásliz
fásul,fásult
fékez,fékező
félsz,félszó
félte,féltet
félév,félévi
férfi,férfiú
főnév,főnévi
főpap,főpapi
főtér,főtéri
fölad,föladó
fölfú,fölfúj
fölél,fölélő
fölér,fölért
fölöl,fölölt
fölöz,fölöző
fűtés,fűtési
fűtés,fűtésű
fülel,fülelő
fürdő,fürdős
gyalu,gyalul
gyalu,gyalus
gyanú,gyanús
gyárt,gyártó
gyere,gyerek
gyújt,gyújtó
gyűjt,gyűjtő
gyűrű,gyűrűs
gyűrű,gyűrűz
tábor,tábori
tagad,tagadó
tágít,tágító
tagló,taglóz
tagol,tagoló
tagol,tagolt
tájol,tájoló
takar,takaró
takar,takart
talál,találó
talál,talált
tálal,tálaló
támad,támadó
támfa,támfal
tanár,tanári
tanít,tanító
tanul,tanuló
tanul,tanult
tanya,tanyai
tapad,tapadó
tapad,tapadt
tapos,taposó
tárgy,tárgyi
tárgy,tárgyú
tarló,tarlóz
tárol,tároló
tároz,tározó
tartó,tartós
tátog,tátogó
tavas,tavasz
távol,távoli
tehet,tehető
tejel,tejelő
tejút,tejúti
teker,tekerő
teknő,teknőc
teknő,teknős
telel,telelé
telel,telelő
telje,teljes
temet,temető
tempó,tempós
tépet,tépett
terel,terelő
terem,teremt
terít,terítő
térít,térítő
termő,termős
téved,tévedt
tilol,tiloló
tipeg,tipegő
típus,típusú
tiszt,tiszta
tiszt,tiszti
titán,titáni
tolat,tolató
torzs,torzsa
tökél,tökély
tömít,tömítő
tőröz,tőröző
törzs,törzsi
törzs,törzsű
trikó,trikós
túlél,túlélő
túlfő,túlfőz
túlsó,túlsóz
tuskó,tuskóz
tusol,tusoló
tünet,tüneti
tüsző,tüszős
tüzel,tüzelő
ideál,ideáll
ideér,ideért
idill,idilli
igény,igényű
iktat,iktató
illan,illanó
illat,illatú
illet,illető
imént,iménti
indul,indulj
indul,induló
indít,indító
intéz,intéző
írnok,írnoki
iroda,irodai
irány,irányú
ismer,ismert
ismer,ismerő
isten,isteni
itató,itatós
itten,itteni
izgat,izgató
ízlés,ízlésű
izzad,izzadt
vadon,vadonc
vágás,vágási
vágás,vágású
vágta,vágtat
vakar,vakaró
vakfa,vakfal
vakít,vakító
vakol,vakoló
valód,valódi
valós,valósi
város,városi
vasal,vasaló
vasal,vasalt
vásár,vásári
vasút,vasúti
vedel,vedelt
védet,védett
végző,végzős
véres,véreső
véset,vésett
veszt,veszte
vetél,vetélő
vétel,vételi
vetés,vetési
vetet,vetett
vetít,vetítő
vezér,vezéri
vezet,vezető
viasz,viaszk
vidék,vidéki
vidít,vidító
vigad,vigadó
világ,világi
villa,villan
virág,virágú
virul,viruló
visel,viselő
visel,viselt
visít,visító
vitéz,vitézi
vizel,vizelő
vonal,vonalú
vonás,vonási
vonul,vonuló
völgy,völgyi
öblít,öblítő
öklöz,öklöző
öncél,öncélú
önerő,önerős
öntöz,öntöző
ördög,ördögi
össze,összeg
össze,összes
rádió,rádiós
ráérő,ráérős
ragad,ragadó
ragoz,ragozó
rajta,rajtad
rákér,rákérd
rámer,rámerő
régen,régens
reked,rekedt
remeg,remegő
remél,remélt
rémít,rémítő
rémül,rémült
reped,repedt
repes,repesz
repül,repülő
résel,réselő
réteg,rétege
réteg,rétegű
rezsi,rezsim
rézsű,rézsűs
rigli,rigliz
rikít,rikító
robog,robogó
rogyó,rogyós
rohad,rohadt
rohan,rohanó
rokka,rokkan
rokon,rokoni
román,románc
röfög,röfögő
röpte,röptet
rubin,rubint
rudal,rudaló
rudaz,rudazó
zárol,zárolt
zavar,zavaró
zavar,zavart
zenél,zenélő
zenés,zenész
zilál,zilált
zizeg,zizegő
zörgő,zörgős
lakos,lakosú
lanka,lankad
lapít,lapító
lapul,lapuló
látás,látási
látta,láttat
lázad,lázadó
lazít,lazító
lázít,lázító
lebeg,lebegő
lebuj,lebujt
ledug,ledugó
lefed,lefedő
lefej,lefejt
lefog,lefogy
lefut,lefutó
legel,legelő
légió,légiós
lehet,lehető
lejár,lejáró
lejár,lejárt
lejtő,lejtős
lekér,lekérd
lelát,lelátó
lelép,lelépő
lelóg,lelógó
lelop,lelopó
lemér,lemért
lemos,lemosó
lenéz,lenéző
lenge,lenget
lépte,léptek
lépte,léptet
lerak,lerakó
lesül,lesült
letét,letéti
letör,letört
lever,leverő
lever,levert
leves,levesz
levon,levonz
lezár,lezáró
libeg,libegő
liget,ligeti
lobog,lobogó
lóerő,lóerős
lófog,lófogú
lokni,loknis
lokni,lokniz
lovag,lovagi
lövés,lövész
eddig,eddigi
edzet,edzett
edzés,edzési
egybe,egyben
egyed,egyedi
egyén,egyéni
ekkor,ekkora
ekkor,ekkori
elejt,elejtő
eleve,eleven
eleve,elevez
elfog,elfogy
elhal,elhall
elhal,elhalt
elhal,elhaló
elhív,elhíva
elint,elintő
elkel,elkelt
elkér,elkérd
ellen,elleng
ellen,ellent
elles,ellesz
elnéz,elnéző
elnök,elnöki
elsüt,elsütő
eltel,eltelt
eltér,eltérő
eltör,eltört
elvon,elvont
elvon,elvonz
elvon,elvonó
elvág,elvága
elvés,elvész
elzár,elzárt
elzár,elzáró
eláll,elálló
előad,előadó
előbb,előbbi
előfő,előfőz
előke,előken
előér,előért
előír,előírt
ember,emberi
emlék,emlékű
enyhe,enyhes
epika,epikai
eresz,ereszt
ernyő,ernyős
ernyő,ernyőz
eszme,eszmei
etika,etikai
evező,evezős
hadar,hadaró
hajít,hajító
hajló,hajlós
halad,haladó
halál,haláli
halas,halasi
halma,halmaz
hámoz,hámozó
harag,haragú
harap,harapó
hárít,hárító
hasad,hasadó
hasad,hasadt
hasít,hasító
hatás,hatású
havas,havasi
házal,házaló
heged,hegedő
heged,hegedű
herél,herélt
hever,heverő
heves,hevesi
hígít,hígító
himlő,himlős
hímnő,hímnős
hitel,hitelv
hitet,hitető
hívás,hívási
hódít,hódító
hódol,hódoló
hódol,hódolt
holló,hollós
homok,homoki
hónap,hónapi
horda,hordat
hordó,hordós
horpa,horpad
hossz,hosszú
hozam,hozamú
