facsar,facsaró
fafúvó,fafúvós
faggyú,faggyús
faggyú,faggyúz
fecseg,fecsegő
fejtet,fejtett
fejtet,fejtető
fejtet,fejtetű
fektet,fektető
fekvés,fekvésű
feldúl,feldúlt
felelő,felelős
felett,felette
felfog,felfogy
felfog,felfogó
felfut,felfutó
felfúj,felfújt
felhág,felhágó
felhúz,felhúzó
feljár,feljáró
felkel,felkelt
felkel,felkelő
felken,felkent
felkér,felkérd
felkér,felkérő
felköt,felkötő
felmar,felmaró
felrak,felrakó
felsző,felszőr
feltár,feltáró
feltör,feltört
felvet,felvető
felvon,felvonó
felzár,felzáró
felölt,felöltő
fenyít,fenyítő
fertőz,fertőző
festet,festett
feszít,feszítő
feszül,feszült
figyel,figyelő
fikció,fikciós
firkás,firkász
fityeg,fityegő
fizika,fizikai
fogadó,fogadós
foglal,foglalt
foglal,foglaló
foltoz,foltozó
folyam,folyami
fontol,fontolt
fontol,fontoló
fordul,forduló
fordít,fordító
forgat,forgató
forgás,forgási
formán,formáns
formáz,formázó
forral,forralt
forral,forraló
franci,francia
futtat,futtató
fújtat,fújtató
félidő,félidős
félnap,félnapi
féltet,féltett
félvér,félvérű
félóra,félórai
fényez,fényező
férfiú,férfiúi
főrend,főrendű
fölfej,fölfejt
fölkel,fölkelt
fölszí,fölszít
fölszí,fölszív
fülled,fülledt
fürdős,fürdősó
füstöl,füstölt
füstöl,füstölő
fütyül,fütyülő
gyámfa,gyámfal
gyeplő,gyeplős
gyújtó,gyújtós
tagság,tagsági
találó,találós
talpal,talpaló
támasz,támaszt
tambur,tambura
tanács,tanácsi
táncol,táncoló
tanító,tanítói
tanügy,tanügyi
tapadó,tapadós
tapasz,tapaszt
tapint,tapintó
táplál,tápláló
táplál,táplált
tapsol,tapsoló
tartás,tartású
taszít,taszító
tátong,tátongó
tavaly,tavalyi
tavasz,tavaszi
távlat,távlati
teendő,teendők
tegnap,tegnapi
tehető,tehetős
tejsav,tejsavó
temető,temetői
tenger,tengeri
térdel,térdelő
teremt,teremtő
terhel,terhelő
terhel,terhelt
terjed,terjedő
termel,termelő
termes,termesz
termet,termett
termet,termetű
térség,térségű
tervez,tervező
tesped,tespedt
tikkad,tikkadt
titkár,titkári
titkol,titkolt
tocsog,tocsogó
tombol,tombola
tombol,tomboló
tompít,tompító
tompul,tompult
toppan,toppant
tökfej,tökfejű
töpped,töppedt
tördel,tördelő
törtet,törtető
trópus,trópusi
túlfej,túlfejt
tündér,tündéri
tüntet,tüntető
idefel,idefelé
idefen,idefenn
idefen,idefent
idehal,idehall
ideidé,ideidéz
idevon,idevonz
idevág,idevágó
idomít,idomító
időköz,időközi
időzít,időzítő
igazol,igazolt
igazol,igazoló
igazít,igazító
igenév,igenévi
ijeszt,ijesztő
iparág,iparági
iskola,iskolai
ismerő,ismerős
isteni,istenit
iszony,iszonyú
ítélet,ítéletű
itthon,itthoni
ízesít,ízesítő
izolál,izoláló
ízület,ízületi
vagdal,vagdalt
vagyon,vagyoni
válasz,választ
vállal,vállalt
vallás,vallási
vallat,vallató
ványol,ványoló
vedlet,vedlett
vedlet,vedlett
végvár,végvári
végzet,végzett
vékony,vékonya
verkli,verklis
vértes,vértest
vessző,vesszőz
veszte,vesztes
veszte,vesztet
vezető,vezetői
vigyáz,vigyázó
vigyáz,vigyázz
vigyor,vigyori
villan,villanó
villan,villant
villan,villany
villog,villogó
virrad,virradó
viselő,viselős
vízfej,vízfejű
vízügy,vízügyi
vizsla,vizslat
vontat,vontató
vulkán,vulkáni
örököl,örökölt
özvegy,özvegyi
ráfest,ráfeste
ráforr,ráforra
ragadó,ragadós
ragasz,ragaszt
ragyog,ragyogó
rajong,rajongó
rajtol,rajtolt
rajzol,rajzoló
rajzol,rajzolt
rákere,rákeres
raktár,raktári
rászán,rászánt
rátart,rátarti
ráülte,ráültet
recseg,recsegő
reggel,reggeli
reggel,reggelt
rejtet,rejtett
rekesz,rekeszt
rekken,rekkenő
rekken,rekkent
rendel,rendelő
rendel,rendelt
rendez,rendező
rendőr,rendőri
repesz,repeszt
reszel,reszelő
részel,részelő
rétege,rétegek
rétege,rétegel
rétege,réteges
rétege,rétegez
retteg,rettegő
retten,rettent
rezzen,rezzent
riaszt,riasztó
rikkan,rikkant
ritmus,ritmusú
robban,robbanó
robban,robbant
rókafi,rókafiú
rokkan,rokkant
rombol,romboló
roppan,roppant
rothad,rothadt
rögzít,rögzítő
zacskó,zacskós
zacskó,zacskóz
zajong,zajongó
zászló,zászlós
zászló,zászlóz
zendül,zendülő
zengés,zengésű
zökken,zökkenő
zökken,zökkent
zörren,zörrent
lágyít,lágyító
láncol,láncolt
lángol,lángoló
lángol,lángolt
lankad,lankadó
lankad,lankadt
látnok,látnoki
lázong,lázongó
lealáz,lealázó
lebben,lebbent
lecsal,lecsaló
lecsen,lecseng
lecsíp,lecsípő
légkör,légköri
légkör,légkörű
légügy,légügyi
légzés,légzési
légzés,légzésű
legyez,legyező
lejárt,lejárta
leltár,leltári
lemond,lemondó
lendít,lendítő
lényeg,lényegi
lépcső,lépcsős
lépcső,lépcsőz
leront,lerontó
lesújt,lesújtó
leszán,leszánt
levegő,levegős
levesz,leveszt
levita,levitat
lézeng,lézengő
libegő,libegős
lobban,lobbant
lobogó,lobogós
lobogó,lobogóz
locsol,locsoló
logika,logikai
lüktet,lüktető
egyben,egybenő
egyház,egyházi
egykor,egykori
egykor,egykorú
elavul,elavult
elcsen,elcseng
eldönt,eldöntő
eleste,elestet
elhajt,elhajtó
elhuny,elhunyt
elhíva,elhívat
elmúlt,elmúlta
elnyom,elnyomó
eloszt,elosztó
elseje,elsejei
elszán,elszánt
elszór,elszórt
eltelt,eltelte
elunta,eluntat
elvesz,elveszt
elvont,elvonta
elvága,elvágat
elégül,elégült
elévül,elévült
elítél,elítélt
elítél,elítélő
előadó,előadói
előfej,előfejt
előhív,előhíva
előhív,előhívó
előkér,előkérd
előszó,előszór
elülte,elültet
emelet,emeleti
emészt,emésztő
enyhít,enyhítő
erdőőr,erdőőri
eredet,eredeti
eredet,eredetű
ereszt,eresztő
erezet,erezett
ernyed,ernyedt
erősít,erősítő
esküvő,esküvői
estély,estélyi
háború,háborús
hajdan,hajdani
hajlam,hajlamú
hajlás,hajlású
hajlat,hajlati
hajlít,hajlító
hajnal,hajnali
hallás,hallási
hallga,hallgat
halott,halotti
hangol,hangoló
hántol,hántoló
harapó,harapós
háztáj,háztáji
hegedő,hegedős
hegedű,hegedűs
hegyez,hegyező
henceg,hencegő
henyél,henyélő
herceg,hercegi
hernyó,hernyóz
hervad,hervadt
hibban,hibbant
higgad,higgadt
hímnem,hímnemű
híradó,híradós
hirdet,hirdető
hírlap,hírlapi
hiszti,hisztis
hitelv,hitelvi
hittan,hittani
hitves,hitvesi
hizlal,hizlaló
hizlal,hizlalt
holnap,holnapi
homlok,homlokú
honvéd,honvédő
hordoz,hordozó
horkan,horkant
horpad,horpadt
hószín,hószínű
hökken,hökkent
hőmérő,hőmérői
hőmérő,hőmérőz
hurkol,hurkoló
húsvét,húsvéti
hüvely,hüvelyk
magyar,magyari
majdan,majdani
málház,málházó
markol,markoló
maródi,maródik
másfél,másféle
másnap,másnapi
matrac,matracú
mázsál,mázsáló
megáll,megállj
megáll,megálló
megbán,megbánt
megbír,megbíró
megbíz,megbízó
megejt,megejtő
megért,megértő
megfed,megfedd
megfej,megfejt
megfog,megfogy
meghal,meghall
meghal,meghalt
meghat,megható
meghív,meghívó
megkap,megkapó
megkér,megkérd
megkér,megkérő
megköt,megkötő
meglep,meglepő
megles,meglesz
megmér,megmérő
megmér,megmért
megnyí,megnyír
megráz,megrázó
megtér,megtért
megtol,megtold
megtör,megtörő
megtör,megtört
megvág,megvágó
megver,megvert
megvet,megvető
mélabú,mélabús
mellék,melléki
mélyít,mélyítő
mennye,mennyei
mérgez,mérgező
mérnök,mérnöki
mértan,mértani
mérték,mértékű
mester,mesteri
meszel,meszelő
meszel,meszelt
millió,milliós
mintáz,mintázó
mocsár,mocsári
mostan,mostani
mozgás,mozgási
mozgás,mozgású
mozgat,mozgató
mulató,mulatós
munkál,munkált
mutató,mutatós
múzeum,múzeumi
muzsik,muzsika
műanya,műanyag
műszak,műszaki
művész,művészi
újraér,újraért
úsztat,úsztató
útszél,útszéli
sajtol,sajtoló
sajtol,sajtolt
sarkal,sarkall
sárrét,sárréti
sejtet,sejtett
serceg,sercegő
serdül,serdülő
serdül,serdült
serken,serkent
sikoly,sikolya
simító,simítóz
