fajsúly,fajsúlyú
faluvég,faluvégi
fanyelv,fanyelvű
farsang,farsangi
február,februári
fehérít,fehérítő
felbujt,felbujtó
felemel,felemelt
felemel,felemelő
felette,felettes
felezés,felezési
felföld,felföldi
felhajt,felhajtó
felirat,felirati
felirat,feliratú
felkelt,felkelte
felkölt,felköltő
felment,felmentő
felszán,felszánt
felszín,felszíni
felszív,felszívó
feltart,feltartó
feltéve,feltéved
feltölt,feltöltő
felvált,felváltó
felépül,felépült
felület,felülete
felület,felületi
felület,felületű
fennjár,fennjáró
fennáll,fennálló
fetreng,fetrengő
fialtat,fialtató
fiaztat,fiaztató
finnség,finnségi
finomít,finomító
fizetés,fizetési
fogadás,fogadási
foglaló,foglalóz
fokozat,fokozati
fonnyad,fonnyadt
fordító,fordítói
fordító,fordítós
forrasz,forraszt
frakció,frakciós
fraktúr,fraktúra
frissít,frissítő
fuvaroz,fuvarozó
fáraszt,fárasztó
félrefu,félrefut
félreve,félrever
félreve,félrevet
félreál,félreáll
félreér,félreért
félszem,félszemű
fémkupa,fémkupak
főnemes,főnemesi
fővezér,fővezéri
főváros,fővárosi
földtan,földtani
fölszán,fölszánt
föltart,föltartó
füldugó,füldugós
fürkész,fürkésző
fütyülő,fütyülős
gyarmat,gyarmati
gyászol,gyászoló
gyengít,gyengítő
gyermek,gyermeki
gyógyul,gyógyult
gyóntat,gyóntató
gyorsír,gyorsíró
gyorsít,gyorsító
gyönyör,gyönyörű
gyullad,gyulladt
takarít,takarító
taktika,taktikai
támadás,támadási
támaszt,támasztó
támogat,támogató
tanítás,tanítási
tapaszt,tapasztó
tapogat,tapogató
tárgyal,tárgyaló
tátogat,tátogató
távírás,távírász
távirat,távirati
telefej,telefejt
temetés,temetési
templom,templomi
tepertő,tepertős
termelő,termelői
termesz,termeszt
terpesz,terpeszt
terület,területi
terület,területű
testvér,testvéri
tetterő,tetterős
tisztel,tisztelő
tisztel,tisztelt
tisztít,tisztító
tisztul,tisztult
torlasz,torlaszt
torpedó,torpedóz
többség,többségi
tömörít,tömörítő
tudósít,tudósító
túlárad,túláradó
túlnyom,túlnyomó
túlpart,túlparti
tüsszen,tüsszent
icipici,icipicit
idecsen,idecseng
időrend,időrendi
időszak,időszaki
ifjúkor,ifjúkori
ifjúság,ifjúsági
igazgat,igazgató
igényel,igényelt
imponál,imponáló
indikál,indikált
indokol,indokolt
indulat,indulatú
indulás,indulási
ingerül,ingerült
intézet,intézeti
irigyel,irigyelt
irányul,irányult
irányít,irányító
ismétel,ismételt
istálló,istállóz
izzaszt,izzasztó
választ,választó
válogat,válogató
vásároz,vásározó
vasipar,vasipari
végezte,végeztet
velejár,velejáró
vesztet,vesztett
vezérel,vezérelv
világít,világító
villant,villantó
vizenyő,vizenyős
vízpart,vízparti
vizsgál,vizsgáló
öregkor,öregkori
öregség,öregségi
összeér,összeért
összefő,összefőz
összeír,összeíró
összeöl,összeölt
özönvíz,özönvízi
ráfeste,ráfestet
rafinál,rafinált
ragadoz,ragadozó
ragaszt,ragasztó
rágcsál,rágcsáló
rántott,rántotta
rávezet,rávezető
reakció,reakciós
reccsen,reccsent
relatív,relatíve
rémiszt,rémisztő
rendező,rendezői
részben,részbeni
reszelő,reszelős
részidő,részidős
reszket,reszkető
rettent,rettentő
revízió,revíziós
rézfúvó,rézfúvós
robbant,robbantó
roggyan,roggyant
roncsol,roncsolt
ruházat,ruházati
zavarás,zavarász
zenekar,zenekari
zimankó,zimankós
zökkenő,zökkenős
lánykor,lánykori
lappang,lappangó
lapszél,lapszéli
látogat,látogató
látókör,látókörű
leborul,leborult
lecsüng,lecsüngő
léghajó,léghajós
légierő,légierőd
lehelet,leheletű
lejárat,lejáratú
lejárta,lejártat
lekísér,lekísért
lelibeg,lelibegő
lelkész,lelkészi
lemarad,lemaradt
lemerül,lemerült
lenézet,lenézett
leolvas,leolvasó
lepakol,lepakoló
leszáll,leszálló
leszáll,leszállt
letarol,letarolt
leterem,leteremt
letipor,letiport
létszám,létszámú
levágta,levágtat
levetet,levetett
levezet,levezető
levonta,levontat
loccsan,loccsant
lottyad,lottyadt
lottyan,lottyant
löttyen,löttyent
lúdtalp,lúdtalpú
egybefő,egybefőz
egybeér,egybeért
egyedül,egyedüli
egyenes,egyenest
egyesül,egyesült
egyetem,egyetemi
egyszer,egyszerű
