lyukaszt,lyukasztó
fajtiszt,fajtiszta
faluszél,faluszéli
farizeus,farizeusi
fecskend,fecskendő
fedélzet,fedélzeti
fehérség,fehérségű
fejkendő,fejkendős
fejleszt,fejlesztő
fejlődés,fejlődési
felderít,felderítő
felettes,felettesi
felfedez,felfedező
felfogás,felfogású
felhevül,felhevült
felindul,felindult
felkelte,felkeltet
felkiált,felkiáltó
felkísér,felkísért
fellépte,felléptet
felnevel,felnevelt
felolvas,felolvasó
felszíja,felszíjaz
felsőfok,felsőfokú
feltalál,feltaláló
feltehet,feltehető
feltűnés,feltűnési
felvezet,felvezető
felvidék,felvidéki
felvonta,felvontat
felvétel,felvételi
felügyel,felügyelő
felülete,felületes
felülete,felületet
felüljár,felüljáró
felülmúl,felülmúló
fenntart,fenntartó
fenyeget,fenyegető
filmgyár,filmgyári
fitogtat,fitogtató
fogalmaz,fogalmazó
fogantyú,fogantyús
fogyaszt,fogyasztó
fogászat,fogászati
fojtogat,fojtogató
folyósít,folyósító
fonetika,fonetikai
fordulás,fordulási
forraszt,forrasztó
freccsen,freccsent
frissibe,frissiben
fröccsen,fröccsent
fröcsköl,fröcskölt
fullaszt,fullasztó
félkörív,félkörívű
félreidé,félreidéz
félrerán,félreránt
félreért,félreérte
főiskola,főiskolai
földesúr,földesúri
földrajz,földrajzi
földszag,földszagú
fölkísér,fölkísért
föllobog,föllobogó
föllépte,fölléptet
föltétel,föltétele
fűrészel,fűrészelt
gyámolít,gyámolító
gyanúsít,gyanúsító
tábornok,tábornoki
támaszfa,támaszfal
tanácsos,tanácsosi
tapintás,tapintási
társaság,társasági
társulat,társulati
távolság,távolsági
tébolyul,tébolyult
technika,technikai
tehetség,tehetségű
tekintet,tekintetű
teleélve,teleélvez
tematika,tematikai
tenyészt,tenyésztő
teológia,teológiai
térhatás,térhatású
terjeszt,terjesztő
termelés,termelési
testszag,testszagú
testszín,testszínű
testület,testületi
tikkaszt,tikkasztó
tollazat,tollazatú
továbbér,továbbért
továbbít,továbbító
többször,többszöri
töltöget,töltögető
törölget,törölgető
történés,történész
