farkasfog,farkasfogó
fegyelmez,fegyelmező
fehérnemű,fehérneműs
feketeáru,feketeárus
felbillen,felbillent
felborzol,felborzolt
felböffen,felböffent
felcukkol,felcukkolt
feldolgoz,feldolgozó
felebarát,felebaráti
felekezet,felekezeti
felfordul,felfordult
felforgat,felforgató
felhangol,felhangolt
felhorkan,felhorkant
feljelent,feljelentő
felkattan,felkattant
felkészül,felkészült
felköszön,felköszönt
fellebben,fellebbent
fellebbez,fellebbező
fellengző,fellengzős
fellobban,fellobbant
felmentet,felmentett
felpattan,felpattant
felpukkan,felpukkant
felrezzen,felrezzent
felriaszt,felriasztó
felrobban,felrobbant
felserken,felserkent
felszólal,felszólaló
felszólít,felszólító
felvigyáz,felvigyázó
felvillan,felvillant
felvillan,felvillanó
felzökken,felzökkent
felülcsap,felülcsapó
fennhéjáz,fennhéjázó
fennmarad,fennmaradó
fenyőszag,fenyőszagú
ferdeszög,ferdeszögű
fiatalkor,fiatalkori
fiatalkor,fiatalkorú
filológia,filológiai
filozófia,filozófiai
fodrászat,fodrászati
folyópart,folyóparti
fonológia,fonológiai
forgalmaz,forgalmazó
forgácsol,forgácsoló
forradalm,forradalmi
fosztogat,fosztogató
frusztrál,frusztrált
fuvarozás,fuvarozási
félbehasí,félbehasít
félreolva,félreolvas
félretehe,félretehet
félreugra,félreugrat
félreérte,félreértet
félsziget,félszigeti
fényképez,fényképező
fénymásol,fénymásolt
fénymásol,fénymásoló
főhadnagy,főhadnagyi
főkertész,főkertészi
fölbillen,fölbillent
földszint,földszinti
fölhorkan,fölhorkant
fölköszön,fölköszönt
föllebben,föllebbent
föllobban,föllobbant
föllobogó,föllobogóz
fölpattan,fölpattant
fölrezzen,fölrezzent
fölrikkan,fölrikkant
fölrobban,fölrobbant
fölserken,fölserkent
fölszarva,fölszarvaz
föltétele,föltételez
fölvillan,fölvillant
fűrészfog,fűrészfogú
gyakorlat,gyakorlati
gyalogság,gyalogsági
gyártmány,gyártmányú
gyerekkor,gyerekkori
gyöngyfog,gyöngyfogú
gyújtogat,gyújtogató
tájjelleg,tájjellegű
tanácsadó,tanácsadói
tanácsház,tanácsháza
tanulmány,tanulmányi
tapasztal,tapasztalt
tárgyalás,tárgyalási
társalgás,társalgási
tartalmaz,tartalmazó
téglaszín,téglaszínű
tekercsel,tekercselő
tekintély,tekintélyi
telenyála,telenyálaz
település,települési
televízió,televíziós
terepszín,terepszínű
természet,természeti
természet,természetű
testalkat,testalkatú
tisztaság,tisztasági
tisztaság,tisztaságú
tisztelet,tiszteleti
tornacipő,tornacipős
túlbillen,túlbillent
túltáplál,túltáplált
túlterhel,túlterhelt
túlzsúfol,túlzsúfolt
ideböffen,ideböffent
idecsatol,idecsatolt
ideológia,ideológiai
idevillan,idevillant
igáskocsi,igáskocsis
illatosít,illatosító
illetőség,illetőségű
illuminál,illuminált
impregnál,impregnált
inspekció,inspekciós
irányítás,irányítási
választás,választási
végbezárt,végbezárta
végigélve,végigélvez
végigszán,végigszánt
végrehajt,végrehajtó
vegyészet,vegyészeti
veszekedő,veszekedős
vezetőség,vezetőségi
vigasztal,vigasztaló
világosít,világosító
világpiac,világpiaci
világszép,világszépe
violaszín,violaszínű
visszadug,visszadugó
visszafej,visszafejt
visszafog,visszafogy
visszahal,visszahall
visszahat,visszaható
visszajár,visszajáró
visszakér,visszakérd
visszatér,visszatérő
visszatér,visszatért
visszatol,visszatold
visszavág,visszavágó
visszavon,visszavonz
visszazár,visszazárt
vizsgálat,vizsgálati
ömlesztet,ömlesztett
önköltség,önköltségi
öntörvény,öntörvényű
összefügg,összefüggő
összegyúr,összegyúró
összeszar,összeszart
összeszór,összeszórt
összetart,összetartó
összeülte,összeültet
összevesz,összeveszt
összezárt,összezárta
rácseppen,rácseppent
rácsúszta,rácsúsztat
ráfüggesz,ráfüggeszd
ráfüggesz,ráfüggeszt
ráismerte,ráismertet
rajtavesz,rajtaveszt
rálöttyen,rálöttyent
rápottyan,rápottyant
ráreccsen,ráreccsent
rátüsszen,rátüsszent
ravataloz,ravatalozó
rendkívül,rendkívüli
rendőrség,rendőrségi
repülőraj,repülőrajt
rosszkedv,rosszkedvű
rózsaszín,rózsaszínű
lágyéktáj,lágyéktáji
lappangás,lappangási
látogatás,látogatási
leblokkol,leblokkolt
lecsattan,lecsattant
lecseppen,lecseppent
lecsökken,lecsökkent
legénység,legénységi
legyengül,legyengült
lehallgat,lehallgató
lehasznál,lehasznált
lekötelez,lekötelező
lelegelte,lelegeltet
leloccsan,leloccsant
lenyugtat,lenyugtató
lépcsőház,lépcsőházi
lepottyan,lepottyant
lerongyol,lerongyolt
letörölte,letöröltet
levelezés,levelezési
egyenként,egyenkénti
egyenlítő,egyenlítői
egyenáram,egyenáramú
egyéniség,egyéniségű
ejtőernyő,ejtőernyős
elaljasul,elaljasult
elcsattan,elcsattant
elcsúszta,elcsúsztat
elcsügged,elcsüggedt
elfedezte,elfedeztet
elfogadta,elfogadtat
elfogatás,elfogatási
elfolyósí,elfolyósít
elfuserál,elfuserált
elgyöngül,elgyöngült
elhatárol,elhatárolt
elhatároz,elhatározó
elismerte,elismertet
elkeserít,elkeserítő
elképeszt,elképesztő
elkészült,elkészülte
elkóborol,elkóborolt
