fakk,frakk
font,front
fóka,fióka
fagy,faágy
fedő,feddő
fika,firka
fika,fióka
fika,fiúka
fogó,forgó
fotó,fojtó
füge,fürge
téma,tréma
tesz,téesz
tesi,tepsi
tetű,testű
tufa,turfa
túró,túlró
igás,ingás
itat,iktat
itat,irtat
irat,irtat
ízel,ízlel
való,vadló
véna,vézna
véső,végső
vétő,vértő
visz,viasz
ölel,öklel
ölés,ömlés
ölet,ötlet
ölés,öltés
ölet,öltet
önöz,öntöz
ötös,ötvös
rejt,ráejt
ront,ráont
ráás,rágás
ráás,rámás
ráás,rázás
ráér,ráfér
ráér,rákér
ráér,rámér
ráér,rátér
ráír,rábír
ráír,rásír
rali,rapli
ránt,ráint
ránt,ráont
ránt,ráönt
ráül,rásül
ráüt,rásüt
rece,rence
rece,repce
rigó,ringó
lány,leány
lejt,leejt
lesz,leesz
lesz,luesz
láma,lárma
látó,lábtó
láva,lárva
leél,levél
leér,ledér
leér,lefér
leér,lekér
leér,lemér
leér,letér
leír,lebír
leír,lesír
lejt,leejt
leng,leing
lent,leint
lent,leönt
leró,leíró
lesz,leesz
leül,lesül
leüt,lesüt
leűz,lefűz
leűz,letűz
ebír,elbír
ered,ezred
eres,egres
eres,epres
eres,ezres
eset,ecset
esős,elsős
etet,ejtet
etet,estet
evet,elvet
evés,elvés
ecet,ecset
elad,előad
elfő,előfő
ellő,elélő
elnő,előnő
elás,előás
elég,elvég
elég,előég
elél,elkél
elél,elvél
elél,előél
elér,elfér
elér,elkér
elér,elmér
elér,eltér
elér,elvér
elér,előér
elír,elbír
elír,elsír
elír,előír
elől,eldől
előz,elfőz
elűz,elfűz
elűz,eltűz
elül,elsül
elül,előül
elüt,elsüt
emlő,emelő
erdő,eredő
ered,erjed
erős,erdős
eset,esket
eset,estet
esik,eszik
esti,eseti
hány,hiány
haló,hajló
haló,halló
haló,hasló
hasi,hapsi
ható,hajtó
heló,helló
hiba,hiába
hiba,himba
hohó,horhó
matt,miatt
mért,miért
maci,marci
maja,marja
mama,magma
manó,magnó
mari,maori
maró,makró
mása,mázsa
maxi,marxi
megy,meggy
menő,megnő
meny,menny
meós,melós
muci,murci
úrnő,úrinő
sicc,skicc
sicc,slicc
sicc,spicc
sitt,snitt
sort,sport
siet,siket
siló,sikló
ábra,ámbra
acél,arcél
ágyi,ángyi
ajaj,ajjaj
akar,alkar
alak,ablak
aszó,asszó
átás,ártás
átér,ártér
átér,áttér
átűz,áttűz
agár,agrár
ágas,ágyas
ágaz,ágyaz
ajaj,ajjaj
aláz,alváz
alél,alfél
álok,álnok
árja,ártja
árul,árvul
árus,árgus
árus,árkus
aszó,asszó
átél,átkél
átér,átfér
átér,átkér
átér,átmér
átér,áttér
átír,átsír
átró,átíró
átül,átsül
átüt,átsüt
átűz,átfűz
átűz,áttűz
azúr,azsúr
opál,optál
órás,óriás
édes,érdes
ékes,étkes
étet,éltet
étet,értet
ében,ébren
éles,éltes
élet,éltet
élez,élvez
érem,érdem
érik,érzik
érés,értés
érés,érzés
kaki,khaki
karc,kvarc
kint,kiint
kint,kvint
koki,kroki
kosz,káosz
költ,kiölt
kaka,kaska
kani,kapni
kapó,kampó
kari,kapri
kasa,kacsa
kelő,kellő
kies,kiles
kint,kiint
kint,kiont
kint,kiönt
kiél,kikél
kiél,kivél
kiér,kifér
kiér,kikér
kiér,kimér
kiér,kitér
kiír,kibír
kiír,kisír
kiűz,kifűz
kiűz,kitűz
kiül,kisül
kiüt,kisüt
kofa,korfa
kora,kobra
kora,kopra
kosz,koksz
kötő,költő
kőút,kőkút
közé,közzé
kuli,kugli
bojt,beojt
bolt,beolt
brit,barit
búgó,brúgó
baba,bamba
bagó,bangó
baka,banka
baka,barka
baka,batka
baki,banki
bakó,bankó
bakó,barkó
beég,belég
beér,befér
beér,bekér
beér,bemér
beér,betér
beír,bebír
beír,besír
bent,beint
bent,beönt
beül,belül
beül,besül
beüt,besüt
beűz,befűz
beűz,betűz
bika,birka
bukó,buckó
bukó,bunkó
buta,bukta
üteg,ütleg
urán,ukrán
ugat,ugrat
unka,unoka
gida,gizda
gisz,gipsz
göbe,görbe
göcs,görcs
paci,piaci
patt,platt
pofi,profi
páka,párka
pali,pakli
papa,pampa
pasi,pacsi
pata,pajta
piál,pipál
piál,pisál
piás,pipás
piás,pisás
pici,piaci
pisa,picsa
pisi,pizsi
póló,pótló
puli,pudli
puli,pukli
dáma,dráma
deli,dekli
digó,dingó
doga,donga
száj,szkáj
szár,sztár
juta,junta
juta,jurta
