fapofa,farpofa
felejt,fellejt
felett,fejlett
felett,feslett
feszít,felszít
feszül,felszül
finesz,fitnesz
fövény,fösvény
fagott,fagyott
falkép,falikép
fedlap,fedőlap
felejt,felfejt
felejt,fellejt
felejt,felsejt
felelő,felkelő
felesz,feltesz
felesz,felvesz
felett,feltett
felint,felhint
felkar,felakar
felkel,felékel
fellel,felölel
felont,felbont
felont,felront
felség,feleség
felölt,felkölt
felölt,feltölt
felönt,feldönt
fenség,feneség
fogzik,fogózik
fogzás,fogazás
fontos,fonatos
főtlen,főtelen
föladó,földadó
fölesz,föltesz
fölesz,fölvesz
fölint,fölhint
fölkel,fölékel
föllel,fölölel
fölvár,földvár
fölért,fölsért
fölölt,fölkölt
fölölt,föltölt
fölönt,földönt
feleik,felesik
felsül,felszül
folyat,folytat
földes,földies
gyerek,gyermek
gyomos,gyomros
taktus,traktus
tehető,telhető
terelő,terhelő
terelő,termelő
tokány,tokmány
túlönt,túldönt
tátogó,tátongó
teleír,telesír
teleül,települ
teleül,telesül
többek,többiek
itatás,iktatás
ideejt,iderejt
ideönt,idedönt
ígéret,ígérget
vackol,vacakol
válság,váltság
véderő,védőerő
védfal,védőfal
végzés,végezés
végzet,végezet
véknya,vékonya
vérzik,vérezik
vízerő,vízmerő
vészel,vészjel
ölelés,öklelés
öregít,öregbít
romlik,ráomlik
ráakar,rátakar
ráakar,rávakar
ráámul,rábámul
ráázik,ráfázik
ráéget,rábéget
ráetet,rátetet
ragadó,rangadó
ráhajt,ráóhajt
rándít,ráindít
rándul,ráindul
rászül,ráőszül
ráugat,rádugat
rektor,reaktor
rohadt,rothadt
réselő,részelő
ráélez,ráélvez
ráérés,ráértés
ráesik,ráeszik
rajtér,rajtaér
ráugat,ráugrat
rendel,rendjel
részeg,részleg
zabláz,zaboláz
zárjel,zárójel
zárszó,zárószó
zenget,zengzet
lányka,leányka
lányos,leányos
leabál,lezabál
leakar,letakar
leakar,levakar
leapad,letapad
leárad,lefárad
learat,lemarat
leázik,lefázik
leetet,letetet
leetet,levetet
leevez,lenevez
leitat,levitat
lendít,leindít
leomol,lebomol
leomol,leromol
leoszt,lefoszt
leülés,lesülés
látkör,látókör
leetet,leestet
légtér,légitér
leitat,leiktat
lektor,lekotor
lenyel,lengyel
leágaz,leágyaz
leesik,leeszik
leugat,leugrat
eleget,emleget
evégre,elvégre
eladat,előadat
eladás,előadás
elakad,elfakad
elakar,eltakar
elakar,elvakar
elapad,eltapad
elbont,előbont
elbujt,előbujt
elcsal,előcsal
elcsap,előcsap
eldönt,elődönt
elemel,előemel
eleped,elreped
elered,elmered
elesik,előesik
eleste,előeste
eletet,eltetet
eletet,elvetet
eletet,előetet
elevez,elnevez
elfejt,előfejt
elfest,előfest
elforr,előforr
elgyűr,előgyűr
elhagy,előhagy
elhajt,előhajt
elhall,előhall
elhord,előhord
elhánt,előhánt
elhíva,előhíva
elidéz,előidéz
elkérd,előkérd
elkölt,előkölt
elmegy,előmegy
elment,előment
elmond,előmond
elnyer,előnyer
elnyit,előnyit
elnyom,előnyom
elomol,elbomol
elomol,elromol
eloroz,elporoz
eloson,előoson
eloszt,elfoszt
eloszt,előoszt
elrejt,előrejt
elront,előront
elránt,előránt
elsejt,elősejt
elsiet,elősiet
elszab,előszab
elszed,előszed
elszel,előszel
elszór,előszór
elszűr,előszűr
eltart,előtart
eltesz,előtesz
eltölt,előtölt
elugat,eldugat
elutal,előutal
elutál,elmutál
elvarr,elővarr
elvesz,elővesz
elvisz,elővisz
elvált,elővált
elámul,elbámul
elárad,elfárad
elárad,előárad
elárul,elhárul
elárul,eljárul
elárul,elzárul
elásat,előásat
elásít,elfásít
elásít,elmásít
eléget,elbéget
eléget,előéget
elékez,elfékez
elépít,előépít
elérez,elvérez
elérez,előérez
elérés,eltérés
elévül,elrévül
elírás,előírás
elítél,előítél
előröl,előőröl
elötöl,előötöl
elüget,előüget
ereszt,erjeszt
erősít,erdősít
eseget,eszeget
etikai,etnikai
eletet,elejtet
eletet,elestet
előagy,előhagy
előröl,előőröl
előölt,előkölt
előölt,előtölt
előönt,elődönt
ekkora,ekkorra
elered,elerjed
elesik,eleszik
elhaló,elhajló
elmeél,elmesél
elmeél,elmetél
elugat,elugrat
elágaz,elágyaz
elárul,elárvul
előrül,előreül
emelet,emelget
erősít,erősbít
halott,hajlott
halott,hallott
hórukk,hó-rukk
habzás,habozás
habzik,habozik
hajító,hajlító
hajtás,hajítás
halott,hallott
hántat,hánytat
hímzés,hímezés
horony,horgony
hagyás,hagymás
haladó,halandó
hallat,hallgat
hányat,hánytat
hazaér,hazakér
hazaér,hazatér
hazaűz,hazafűz
mereng,megreng
meszel,megszel
magzás,magázás
máslás,másolás
megárt,megmárt
megedz,megpedz
megejt,megfejt
megejt,meglejt
megejt,megsejt
megért,megmért
megért,megsért
megért,megtért
megesz,meglesz
megesz,megtesz
megesz,megvesz
megfon,megafon
meging,megring
megint,meghint
megkel,megékel
meglel,megölel
megojt,megfojt
megold,megfold
megold,megtold
megolt,megholt
megont,megbont
megont,megront
megölt,megkölt
megölt,megtölt
megönt,megdönt
mentes,menetes
mosdik,mosódik
mászat,másztat
megfal,megfial
megsül,megszül
molyos,molyhos
újraér,újrakér
újraér,újramér
újraüt,újrasüt
sehogy,semhogy
sítalp,síntalp
sajtos,sajátos
sarkkő,sarokkő
alakfa,ablakfa
alakos,ablakos
ámulat,átmulat
áruház,átruház
ágazat,ágyazat
alszik,aluszik
átakar,átvakar
átárad,átfárad
átázik,átfázik
átered,átmered
átevez,átnevez
átirat,átsirat
átitat,átvitat
átoroz,átsoroz
átutál,átmutál
aláölt,alátölt
alapár,alakpár
aljzat,aljazat
alszik,alsózik
aszalt,aszfalt
átitat,átiktat
akkora,akkorra
alpaka,alpakka
átélez,átélvez
átered,áterjed
átesik,áteszik
átpiál,átpipál
átpiál,átpisál
átugat,átugrat
óvszer,óvószer
odaejt,odalejt
odaejt,odarejt
odaint,odahint
odaint,odakint
odaönt,odadönt
őrizet,őrizget
őrizet,őriztet
csodás,csordás
csapos,csapdos
csatló,csataló
csatló,csatoló
cseres,cserfes
csípet,csíptet
csókos,csókdos
csörge,csöröge
csukás,csuklás
édesít,érdesít
ékezés,érkezés
ékezés,étkezés
karcol,kvarcol
kérlel,kiérlel
kegyel,kiegyel
kellet,kiellet
kláris,kaláris
kokett,krokett
koszol,kioszol
krúgat,kirúgat
kúszik,kiúszik
küldöz,kiüldöz
kabala,kabbala
kacsol,kapcsol
kegyel,kengyel
kiabál,kizabál
kiakad,kifakad
kiakar,kitakar
kiakar,kivakar
kiapad,kitapad
kiarat,kimarat
kiered,kimered
kietet,kitetet
kietet,kivetet
kievez,kinevez
kiitat,kivitat
kinyúl,kisnyúl
kiomol,kibomol
kiomol,kiromol
kioszt,kifoszt
kiszel,kieszel
kiárad,kifárad
kiárul,kijárul
kiárul,kitárul
kiárul,kizárul
kiázik,kifázik
kiéget,kibéget
kiírás,kibírás
kiörül,kitörül
kiűzet,kifűzet
kiűzet,kitűzet
kiütés,kisütés
kopasz,kompasz
koszol,kokszol
kotrás,kontrás
könyék,környék
kötőnő,költőnő
kötött,költött
kötöző,költöző
kabala,kabbala
kaliba,kalyiba
karzat,karózat
kertes,keretes
kietet,kiejtet
kietet,kiestet
kiitat,kiiktat
kiitat,kiirtat
kispad,kisápad
kiölel,kiöklel
körzés,körözés
kötény,kötvény
közlés,közölés
közöny,közlöny
különc,küldönc
kardal,kardhal
karima,karizma
ketten,kettyen
kiered,kierjed
kiesik,kieszik
kihaló,kihajló
kiugat,kiugrat
kiágaz,kiágyaz
kiárul,kiárvul
kiélez,kiélvez
koszol,kosztol
koszos,kosztos
kúszat,kúsztat
baszik,beaszik
bicska,bricska
bomlik,beomlik
bőszít,beőszít
beakad,befakad
beakar,betakar
beárad,befárad
bearat,bemarat
beáraz,bezáraz
beárul,bezárul
beéget,bebéget
beékez,befékez
beérez,bevérez
beetet,betetet
beetet,bevetet
beevez,benevez
beövez,bekövez
beszít,beőszít
beugat,bedugat
boázik,bokázik
bagzik,bagózik
bajszú,bajuszú
beitat,beiktat
belejt,beleejt
beltér,beletér
bírság,bíróság
boróka,borsóka
borong,borzong
barion,bariton
beesik,beeszik
bekötő,beköltő
beleér,belefér
beleér,belemér
beleér,beletér
beleír,belesír
belejt,beleejt
belelő,beleélő
beleül,belesül
beleüt,belesüt
bennül,bennsül
bepiál,bepipál
bepiál,bepisál
beugat,beugrat
ügylet,ügyelet
üzenet,üzenget
ugatás,ugratás
cezúra,cenzúra
címzés,címezés
cirkál,cirókál
cirpel,ciripel
zsírzó,zsírozó
gébics,gérbics
gépész,géprész
patina,platina
posztó,prosztó
pakoló,parkoló
pakoló,patkoló
paskol,pacskol
piázik,pipázik
pocika,porcika
pötyög,pöntyög
pötyög,pöntyög
párlás,párolás
pároló,pártoló
párzik,párázik
perces,pereces
póling,pólóing
porlás,porolás
pártáz,pártház
passió,passzió
petyeg,petymeg
pocsol,pocskol
dakron,diakron
dögész,dögvész
deleál,delegál
szaval,szarval
szavas,szarvas
szavaz,szarvaz
szeder,szender
szelet,szeglet
szelet,szellet
szétűz,széttűz
szórás,szóírás
sztepp,sztyepp
szájíz,szájvíz
szálas,szálvas
szanál,szandál
szánás,szántás
szegel,szegdel
szeget,szeglet
székfű,székifű
szelel,szeldel
szelet,szellet
szellő,szelelő
szenel,szentel
szenes,szentes
szeret,szerzet
szerez,szervez
szétír,szétsír
szétüt,szétsüt
szétűz,szétfűz
szétűz,széttűz
szipka,szipóka
szível,szívlel
szopat,szoptat
szoros,szorgos
szótan,szótlan
szurok,szurdok
szünet,szüntet
jobbra,jobbára
