fahordó,fiahordó
faktúra,fraktúra
fakutya,fajkutya
farakás,falrakás
fogalmi,forgalmi
fogalom,forgalom
falrész,falurész
fejőgép,fejtőgép
felakad,felfakad
felakar,feltakar
felakar,felvakar
feledés,felfedés
felelés,felkelés
felesel,felfesel
feletet,feltetet
feletet,felvetet
felevez,felnevez
felitat,felvitat
felszít,feluszít
felárad,felfárad
felázik,felfázik
feléget,felbéget
felérez,felvérez
felétet,felvétet
felöltő,felköltő
felöltő,feltöltő
felörül,feltörül
felövez,felkövez
fogózik,fogyózik
fölakad,fölfakad
föletet,föltetet
föletet,fölvetet
fölnyes,fölényes
fölszít,föluszít
fölárad,fölfárad
fölázik,fölfázik
fölétet,fölvétet
feletet,feledtet
feletet,felejtet
feletet,feleltet
felölel,felöklel
fogazás,fogamzás
fogózik,fogódzik
férjura,férjeura
fedezet,fedeztet
felelet,felelget
felelet,feleltet
felesik,feleszik
felkötő,felköltő
felugat,felugrat
felágaz,felágyaz
felölet,felöltet
felület,felülhet
felület,felültet
felület,felülvet
felülír,felülbír
foganat,fogantat
fogódik,fogódzik
félreér,félremér
félreér,félretér
félreül,félresül
fölesik,föleszik
fölugat,fölugrat
gyorsír,gyorshír
témázik,trémázik
tisztel,tvisztel
tüszköl,trüszköl
tolódik,torlódik
telesül,teljesül
terelés,terhelés
terelés,termelés
törődik,törlődik
túlárad,túlfárad
teleint,telehint
telepít,teleépít
települ,teleépül
tereget,terelget
topogás,toporgás
találat,találgat
tárgyas,tárgyias
térdelő,térdeplő
túlélez,túlélvez
túlesik,túleszik
túlönöz,túlöntöz
ionizál,ironizál
ízletes,ízületes
ideárad,idefárad
időálló,időtálló
ijedség,ijedtség
ideesik,ideeszik
irtózat,irtóztat
ismeret,ismertet
istenit,istenhit
vágódik,vágyódik
válogat,váltogat
véderdő,védőerdő
verődik,vergődik
vonódik,vonzódik
vonóerő,vonzóerő
veszett,vesztett
vonzerő,vonzóerő
végezet,végeztet
végigér,végigmér
végigír,végigbír
végigír,végigsír
végigüt,végigsüt
végigűz,végigfűz
visszás,visszaás
visszér,visszaér
vonulat,vonultat
öntöget,öntözget
össztűz,összetűz
öltözet,öltöztet
összeér,összefér
összeér,összekér
összeér,összemér
összeér,összetér
összeír,összesír
összeró,összeíró
összeül,összesül
összeüt,összesüt
ráalmoz,ráhalmoz
rálapoz,ráalapoz
ráordít,ráfordít
ráúszik,rákúszik
ráüttet,rásüttet
reakció,redakció
reaktor,redaktor
rohadás,rothadás
rohaszt,rothaszt
rágcsál,rágicsál
rázódik,rázkódik
réshang,részhang
ráeszik,ráesőzik
ráfogat,ráforgat
rajtáll,rajtaáll
rakogat,rakosgat
rákomál,rákozmál
rápakol,ráparkol
rápakol,rápaskol
rétegel,réteggel
rádörög,rádörmög
ráhajít,ráhajlít
ráterel,ráterhel
rétegel,réteggel
zavarás,zavargás
lánykor,leánykor
lánynév,leánynév
lakozás,lakkozás
leállás,lesállás
leaszik,lebaszik
leerjed,legerjed
leerjed,leterjed
leestet,lefestet
leeszik,leveszik
leirkál,lefirkál
lelapít,lealapít
lelapoz,lealapoz
leomlik,lebomlik
leomlik,leromlik
leordít,lefordít
leöntet,ledöntet
leúszik,lekúszik
lakhely,lakóhely
lakozás,lakkozás
leaszik,lealszik
légakna,légiakna
legalul,legyalul
labilis,labiális
lapogat,lapozgat
leeszik,leesőzik
lefogás,leforgás
lefogat,leforgat
lehatol,lehantol
lemezel,lemeszel
lepakol,leparkol
lepakol,lepaskol
lerágat,lerángat
lerohad,lerothad
lerudal,lerugdal
letetet,letettet
letusol,letussol
levakol,levackol
lopózik,lopódzik
lapocka,lapocska
leányág,leányság
ledörög,ledörmög
lefogás,lefogyás
lehajít,lehajlít
lejárat,lejártat
lekéret,lekérdet
lemenet,lementet
lemosat,lemosdat
leromol,lerombol
lerúgat,lerúgtat
leterel,leterhel
leterel,letermel
letetet,letettet
letörés,letörlés
letöret,letörtet
letörül,letörpül
letusol,letussol
levágat,levágtat
levonat,levontat
eszeget,elszeget
elaprít,előaprít
elaszik,elbaszik
elbomol,előbomol
elbukik,előbukik
elbírál,előbírál
elbújik,előbújik
elbúvik,előbúvik
elbűvöl,előbűvöl
elcibál,előcibál
elcipel,előcipel
elcitál,előcitál
elcseng,előcseng
eldarál,elődarál
eldobog,elődobog
eldobol,elődobol
eldöntő,elődöntő
elegyít,elvegyít
elegyül,elvegyül
elejtet,elfejtet
elejtet,elrejtet
elejtés,elrejtés
elenged,előenged
elerjed,elterjed
eleszik,elveszik
elfalaz,előfalaz
elfejet,előfejet
elfizet,előfizet
elfogat,előfogat
elforog,előforog
elfásít,előfásít
elfékez,előfékez
elgurul,előgurul
elgurít,előgurít
elgőzöl,előgőzöl
elgörög,előgörög
elhadar,előhadar
elhajol,előhajol
elhalad,előhalad
elhasít,előhasít
elhatol,előhatol
elhevít,előhevít
elhozat,előhozat
elhápog,előhápog
elhívat,előhívat
elillan,elvillan
elindít,előindít
eliszik,előiszik
eljavít,előjavít
eljárat,előjárat
elkapar,előkapar
elkeres,előkeres
elkerít,előkerít
elkerül,előkerül
elkever,előkever
elkezel,előkezel
elkiált,előkiált
elkocog,előkocog
elkotor,előkotor
elképed,előképed
elképez,előképez
elkövet,előkövet
ellakik,előlakik
ellazít,előlazít
ellehet,előlehet
ellibeg,előlibeg
ellépet,előlépet
elmered,előmered
elmesél,előmesél
elmetsz,előmetsz
elmutat,előmutat
elmázol,előmázol
elnevel,előnevel
elnevet,előnevet
elnevez,előnevez
elnyújt,előnyújt
elnézet,előnézet
elolvas,előolvas
elomlik,elbomlik
elomlik,elromlik
elordít,elfordít
eloszol,elkoszol
elpakol,előpakol
elpereg,előpereg
elpirít,előpirít
elporoz,előporoz
elpuhít,előpuhít
elpárol,előpárol
elragad,előragad
elrepül,előrepül
elrobog,előrobog
elrohan,előrohan
elsegít,elősegít
elsimít,elősimít
elsivít,elősivít
elsodor,elősodor
elsorol,elősorol
elsuhan,elősuhan
elsuhog,elősuhog
elszáll,előszáll
elsétál,elősétál
elsípol,elősípol
elsürög,elősürög
elsüvít,elősüvít
eltalál,előtalál
eltanul,előtanul
elteker,előteker
eltemet,előtemet
elterel,előterel
elterem,előterem
elterít,előterít
eltipeg,előtipeg
eltojik,előtojik
eltolul,előtolul
eltámad,előtámad
eltárol,előtárol
eltöröl,előtöröl
eltűnik,előtűnik
eltűnés,előtűnés
eltüzel,előtüzel
elugrat,előugrat
elugrik,előugrik
elugrál,előugrál
elvakar,elővakar
elvakol,elővakol
elvasal,elővasal
elvetet,elővetet
elvezet,elővezet
elvirít,elővirít
elvonul,elővonul
elvágás,elővágás
elválik,előválik
elvárat,elővárat
elvétel,elővétel
elvétet,elővétet
elzenél,előzenél
elzuhan,előzuhan
elzörög,előzörög
elzúdul,előzúdul
eláldoz,előáldoz
elállít,előállít
eláltat,elváltat
eláztat,előáztat
elöblít,előöblít
elömlik,előömlik
elöntet,eldöntet
elöntöz,előöntöz
elúszik,elkúszik
elúszik,előúszik
elüldöz,elküldöz
elüttet,elsüttet
elüvölt,elsüvölt
eresztő,erjesztő
erélyes,erkélyes
egyesül,egybesül
elaszik,elalszik
előetet,elővetet
előétel,elővétel
egysínű,egyszínű
eldugat,elduggat
elemzés,elemezés
elfogat,elforgat
elhalás,elhajlás
elhatol,elhantol
elpakol,elparkol
elpakol,elpaskol
elpakol,elpatkol
elreked,elrepked
elrohad,elrothad
eltusol,eltussol
elvakol,elvackol
előrejt,előreejt
erőtlen,erőtelen
egybeér,egybekér
egybeér,egybemér
egybeír,egybebír
egybeül,egybesül
ekkorra,ekkorára
eldugat,elduggat
eldörög,eldörmög
elfejet,elfejtet
elfújat,elfújtat
elhajít,elhajlít
elkapat,elkaptat
elképel,elképzel
ellenér,ellenkér
ellenér,ellenmér
ellépet,elléptet
elmenet,elmentet
elmorog,elmormog
elpacáz,elpackáz
elpárol,elpártol
elpöröl,elpörköl
elreped,elrepked
elromol,elrombol
elrúgat,elrúgtat
elterel,elterhel
elterel,eltervel
eltusol,eltussol
eltöret,eltörtet
eltörés,eltörlés
eltörül,eltörpül
elvonat,elvontat
elvonít,elvonyít
elvágat,elvágtat
elzabál,elzabrál
előrejt,előreejt
előreül,előrepül
hegység,hőegység
halandó,hajlandó
hatódik,hajtódik
hatóerő,hajtóerő
havazás,hamvazás
hajítás,hajlítás
hajtott,hajított
halvány,halovány
hátrány,hátirány
házasít,háziasít
házasul,háziasul
hegesít,hegyesít
hangász,hangyász
helység,helyiség
hibázik,hibádzik
halastó,halasztó
hasonít,hasonlít
hozzáér,hozzáfér
hozzáér,hozzámér
hozzáér,hozzátér
megabál,megzabál
megakad,megfakad
megakar,megtakar
megakar,megvakar
megámul,megbámul
megapad,megtapad
megárad,megfárad
megarat,megmarat
megavul,megjavul
megázás,megfázás
megázik,megfázik
megejtő,megfejtő
megejtő,meglejtő
megékel,meglékel
megékez,megfékez
megeped,megreped
megered,megmered
megérés,megkérés
megérés,megtérés
megérez,megvérez
megetet,megtetet
megetet,megvetet
megétet,megvétet
meghajt,megóhajt
megitat,megvitat
megokol,megfokol
megoszt,megfoszt
megörül,megtörül
megszel,megeszel
megszül,megőszül
megugat,megdugat
másolat,másodlat
maszkol,maszekol
megetet,megejtet
megétet,megéltet
megétet,megértet
megölel,megöklel
magános,magányos
megélez,megélvez
megered,megerjed
megérés,megértés
megérés,megérzés
megesik,megeszik
megható,meghajtó
megölet,megöltet
megugat,megugrat
muslica,muslinca
művelet,műveltet
újraölt,újrakölt
újraölt,újratölt
újraönt,újradönt
sífutás,síkfutás
síkötés,sínkötés
silózik,siklózik
spiccel,spriccel
sorolás,sorsolás
ácsorog,átcsorog
áterjed,átterjed
ágacska,ágyacska
allevél,aljlevél
aluszik,alkuszik
árforma,áruforma
áterjed,átterjed
átérzik,átvérzik
átestet,átfestet
áteszik,átveszik
átordít,átfordít
átrésel,átprésel
átúszik,átkúszik
átüvölt,átsüvölt
ásókapa,ásó-kapa
átlukad,átlyukad
átsoroz,átszoroz
atyafia,atyjafia
átfogat,átforgat
átkötés,átköltés
átrágat,átrángat
agyonüt,agyonsüt
ajánlat,ajánlgat
akkorra,akkorára
áldozat,áldoztat
általér,általmér
alterál,alternál
áthajít,áthajlít
átkarol,átkarcol
átlépet,átléptet
átmenet,átmentet
átpárol,átpártol
átreped,átrepked
átrésel,átrészel
átsorol,átsorsol
átterel,átterhel
áttöret,áttörtet
átvágat,átvágtat
odaakar,odavakar
odaárad,odafárad
odaered,odamered
odaesik,odaeszik
olvasat,olvasgat
olvasat,olvastat
csácsog,csámcsog
csalsíp,csalisíp
csapott,csapzott
csicsás,csicskás
csicska,csicsóka
csuklás,csuklyás
éntudat,én-tudat
éretlen,értetlen
érdemel,érdemjel
érintet,érintget
kereszt,kiereszt
kigazol,kiigazol
kúsztat,kiúsztat
kiaggat,kifaggat
kiaszik,kibaszik
kiejtet,kifejtet
kiejtés,kifejtés
kiellet,kikellet
kierjed,kiterjed
kiestet,kifestet
kieszel,kimeszel
kieszel,kireszel
kieszik,kiveszik
kigazol,kiigazol
kiillan,kivillan
kiirtat,kifirtat
kilapít,kialapít
kimosás,kismosás
kioldoz,kifoldoz
kiomlik,kibomlik
kiontat,kibontat
kiontat,kivontat
kiordít,kifordít
kiterem,kisterem
kiállás,kipállás
kiáltat,kiváltat
kiáltás,kiváltás
kiérzik,kivérzik
kiúszik,kikúszik
kiüldöz,kiküldöz
kiüttet,kisüttet
komikus,kozmikus
kötöget,költöget
kötözés,költözés
kucorog,kuncorog
kukorít,kunkorít
kulizás,kuglizás
kulizik,kuglizik
karkötő,kardkötő
karolás,karcolás
karolás,karmolás
kartánc,kardtánc
képelem,képzelem
kérőlap,kérdőlap
kiaszik,kialszik
kilukad,kilyukad
kisoroz,kiszoroz
kambium,kambrium
készlet,készület
kibotoz,kiboltoz
kidögöl,kidörgöl
kifogat,kiforgat
kihatol,kihantol
kihatás,kihajtás
kikelet,kikellet
kikötés,kiköltés
kipakol,kiparkol
kireked,kirepked
kirikít,kiritkít
kirohad,kirothad
kirágat,kirángat
kitetet,kitettet
kamatol,kamatyol
kereset,keresget
kereset,kereslet
kereset,kerestet
kerület,kerülget
kímélet,kímélget
kínálat,kínálgat
kíséret,kísérget
kíséret,kísérlet
kíséret,kísértet
kívánat,kívántat
kifejet,kifejlet
kifejet,kifejtet
kihajít,kihajlít
kikapat,kikaptat
kikelet,kikellet
kikelet,kikeltet
kilépet,kiléptet
kimenet,kimentet
kimosat,kimosdat
kireped,kirepked
kirúgat,kirúgtat
kisorol,kisorsol
kiterel,kiterhel
kiterel,kitermel
kiterel,kitervel
kitetet,kitettet
kitorol,kitorkol
kitörés,kitörlés
kivonat,kivontat
kivágat,kivágtat
kiválás,kiváltás
kizabál,kizabrál
körbeér,körbemér
körbeír,körbesír
körbeűz,körbefűz
körbeűz,körbetűz
különér,különmér
bealmoz,behalmoz
beaszik,bebaszik
beeszik,beveszik
begazol,beigazol
beillan,bevillan
beirkál,befirkál
bélista,bérlista
beomlik,beromlik
beordít,befordít
beoszol,bekoszol
berésel,beprésel
beúszik,bekúszik
beüldöz,beküldöz
beüttet,besüttet
beüvölt,besüvölt
bulizik,bumlizik
bajszos,bajuszos
beaszik,bealszik
belukad,belyukad
besoroz,beszoroz
bogárka,boglárka
borogat,borzogat
borókás,borsókás
becslés,becsülés
becsszó,becsúszó
bedögöl,bedöngöl
bedögöl,bedörgöl
befogat,beforgat
behatás,behajtás
behatol,behantol
behavaz,behamvaz
beleárt,belemárt
beleejt,belerejt
beleejt,belesejt
beleold,beletold
beleont,belebont
beleont,beleront
beleölt,belekölt
beleölt,beletölt
beleönt,beledönt
benevez,benedvez
bepakol,beparkol
bepakol,bepaskol
bepakol,bepaukol
berágat,berángat
berezel,bereszel
berohad,berothad
betetet,betettet
bevakol,bevackol
bólogat,bólongat
borogat,borozgat
bámulat,bámultat
beboroz,beborsoz
behajít,behajlít
bejárat,bejártat
beképel,beképzel
belefal,belefial
belépet,beléptet
belesül,beleszül
bemenet,bementet
bepöröl,bepörköl
berúgat,berúgtat
besorol,besorsol
beterel,beterhel
beterel,betermel
betetet,betettet
betöret,betörtet
bevágat,bevágtat
bevonat,bevontat
bevonat,bevonzat
bírálat,bírálgat
búcsúzó,búcsúszó
ügyelet,ügyelget
üzletes,üzleties
utánzás,utánozás
celofán,cellofán
celofán,cellofán
címzett,címezett
zsibogó,zsibongó
gépesít,gépiesít
gubózik,gubódzik
gőzölés,gőzölgés
paníroz,planíroz
plántál,palántál
pakolás,patkolás
palizik,paklizik
párharc,pártharc
paríroz,parkíroz
perorál,perforál
