feccsent,freccsent
fogalmaz,forgalmaz
farcsont,farkcsont
fejetlen,fejletlen
felaszik,felbaszik
felejtet,felsejtet
feleltet,felkeltet
feleszik,felveszik
felillan,felvillan
felirkál,felfirkál
feloldoz,felfoldoz
felomlik,felbomlik
felomlik,felromlik
felordít,felfordít
felrésel,felprésel
felséges,feleséges
felérzik,felvérzik
felöltet,felköltet
felöltet,feltöltet
felúszik,felkúszik
felüttet,felsüttet
felüvölt,felsüvölt
föleszik,fölveszik
fölillan,fölvillan
fölordít,fölfordít
fölúszik,fölkúszik
felsoroz,felszoroz
felfogat,felforgat
felhatol,felhantol
felpakol,felparkol
felpakol,felpaskol
felpakol,felpaukol
feltetet,feltettet
felültet,felületet
fáradság,fáradtság
fölfogat,fölforgat
fölhatol,fölhantol
fölpakol,fölpaukol
fölültet,fölületet
fakopács,fakopáncs
feldörög,feldörmög
felhajít,felhajlít
felkapat,felkaptat
felkarol,felkarcol
felkarol,felkarmol
felkelés,felkeltés
fellépet,felléptet
felmenet,felmentet
felmosat,felmosdat
felpárol,felpártol
felrúgat,felrúgtat
felsorol,felsorsol
felterel,felterhel
feltetet,feltettet
feltöret,feltörtet
felvonat,felvontat
felvonít,felvonyít
felvágat,felvágtat
felvérez,felvértez
fölhajít,fölhajlít
fölkapat,fölkaptat
fölkarol,fölkarcol
föllépet,fölléptet
fölvonít,fölvonyít
fölvágat,fölvágtat
gyerekes,gyermekes
gyűrűzik,gyűrűdzik
túlordít,túlfordít
túlüvölt,túlsüvölt
teleltet,teleültet
tanulság,tanultság
túlpakol,túlparkol
túlpakol,túlpatkol
tajtékzó,tajtékozó
teleesik,teleeszik
tervezet,tervezget
továbbűz,továbbfűz
túllépet,túlléptet
túlterel,túltercel
túlterel,túlterhel
túlterel,túltermel
indoklás,indokolás
izzadság,izzadtság
ideterel,idetermel
ijesztet,ijesztget
védlevél,védőlevél
védszent,védőszent
védvonal,védővonal
víztelep,vízitelep
vesződik,veszkődik
végigejt,végigfejt
végigejt,végiglejt
végigönt,végigdönt
világias,világfias
villogás,villongás
virágzik,virágozik
vadászat,vadászgat
változat,változtat
villogat,villogtat
visszaér,visszafér
visszaér,visszakér
visszaér,visszamér
visszaér,visszatér
visszaír,visszabír
visszaír,visszasír
visszalő,visszaélő
visszaül,visszasül
visszaüt,visszasüt
visszaűz,visszafűz
visszaűz,visszatűz
öregedik,öregbedik
örömanya,örömtanya
összeárt,összezárt
összeejt,összefejt
összeejt,összelejt
összeölt,összekölt
összeölt,összetölt
összeönt,összedönt
ráereget,rátereget
ráereget,rávereget
ráereszt,rámereszt
rajvonal,rajtvonal
rápaskol,rápacskol
részeges,részleges
részvevő,résztvevő
rajzolat,rajzoltat
rányomat,rányomtat
robbanás,robbantás
lánykori,leánykori
leapaszt,letapaszt
leereget,letereget
leereget,levereget
lesurran,lecsurran
lezökken,leszökken
láthatár,látóhatár
leledzik,lelkedzik
lesállás,leszállás
leereszt,leerjeszt
lekacsol,lekapcsol
licslocs,lics-locs
lehabzik,lehabozik
lélegzik,lélegezik
lemosdik,lemosódik
lepárlás,lepárolás
leszavaz,leszarvaz
lefolyat,lefolytat
lenyaral,lenyargal
lenyomat,lenyomtat
leszerez,leszervez
elaborál,ellaborál
eszencia,esszencia
elaborál,ellaborál
eladatik,előadatik
eladogat,előadogat
eladódik,előadódik
elballag,előballag
elbeszél,előbeszél
elbocsát,előbocsát
elbombáz,előbombáz
elbomlik,előbomlik
elbujkál,előbujkál
elbukkan,előbukkan
elbuktat,előbuktat
elbújtat,előbújtat
elcammog,előcammog
elcaplat,előcaplat
elcsapat,előcsapat
elcsapol,előcsapol
elcsikar,előcsikar
elcsorog,elácsorog
elcsorog,előcsorog
elcsépel,előcsépel
elcsődül,előcsődül
eldereng,elődereng
eldöbben,elődöbben
eldühöng,elődühöng
elejtett,elrejtett
elelemez,előelemez
elemészt,előemészt
elepeszt,elkepeszt
elepeszt,elrepeszt
elereget,eltereget
elereszt,elmereszt
elfelejt,előfelejt
elferdül,előferdül
elfeszít,előfeszít
elfoglal,előfoglal
elfordul,előfordul
elfordít,előfordít
elforgat,előforgat
elformáz,előformáz
elfütyül,előfütyül
elgondol,előgondol
elgondoz,előgondoz
elgyűrűz,előgyűrűz
elgördít,előgördít
elgördül,előgördül
elgörget,előgörget
elhajlít,előhajlít
elhajtat,előhajtat
elhangol,előhangol
elhelyez,előhelyez
elhizlal,előhizlal
elhordat,előhordat
elhullik,előhullik
elhúzgál,előhúzgál
elidőzik,előidőzik
eliszkol,elpiszkol
eljegyez,előjegyez
eljelent,előjelent
elkapkod,előkapkod
elkertel,előkertel
elkiabál,előkiabál
elkoptat,előkoptat
elkullog,előkullog
elkántál,előkántál
elkészít,előkészít
elkészül,előkészül
elkóstol,előkóstol
elkúszik,előkúszik
elkürtöl,előkürtöl
ellebben,előlebben
ellendít,előlendít
ellibben,előlibben
ellobban,előlobban
ellocsol,előlocsol
ellágyít,előlágyít
ellépdel,előlépdel
ellépked,előlépked
elléptet,előléptet
elmereng,előmereng
elmozdul,előmozdul
elmozdít,előmozdít
elmunkál,előmunkál
elmászik,előmászik
elnagyol,előnagyol
elnulláz,előnulláz
elnyaral,előnyaral
elnyomoz,előnyomoz
elnyomul,előnyomul
elnyomás,előnyomás
elnyálaz,előnyálaz
eloszlat,elfoszlat
eloszlik,elfoszlik
eloxidál,előoxidál
elparkol,előparkol
elpattan,előpattan
elpattog,előpattog
elperdít,előperdít
elperdül,előperdül
elpezseg,előpezseg
elpontoz,előpontoz
elpumpál,előpumpál
elragyog,előragyog
elrajzik,előrajzik
elrajzol,előrajzol
elrebben,előrebben
elrendel,előrendel
elrendez,előrendez
elreszel,előreszel
elriaszt,előriaszt
elrobban,előrobban
elrángat,előrángat
elröppen,előröppen
elrúgtat,előrúgtat
elsiklik,elősiklik
elsurran,elcsurran
elszakad,előszakad
elszalad,előszalad
elszaval,előszaval
elszavaz,előszavaz
elszeget,eleszeget
elszerel,előszerel
elszeret,előszeret
elszitál,előszitál
elszámol,előszámol
elszámít,előszámít
elszárad,előszárad
elszárít,előszárít
elszédül,előszédül
elszólít,előszólít
elszökik,előszökik
elsüvölt,elősüvölt
eltapsol,előtapsol
eltekint,előtekint
elterhel,előterhel
elterjed,előterjed
eltervez,előtervez
eltompít,előtompít
eltotyog,előtotyog
eltáncol,előtáncol
eltöltet,előtöltet
eltüntet,előtüntet
elversel,előversel
elveszik,előveszik
elvillan,elővillan
elvontat,elővontat
elvágtat,elővágtat
elvállal,elővállal
elvérzik,elővérzik
elállító,előállító
eláraszt,elfáraszt
elénekel,előénekel
elözönöl,előözönöl
elütöget,elsütöget
eresztet,erjesztet
eresztés,erjesztés
erősítés,erdősítés
erősödik,erdősödik
eszencia,esszencia
etológia,etnológia
etológus,etnológus
egyesült,egybesült
elsikkad,elszikkad
előúszik,előkúszik
erővonal,erődvonal
egyelőre,egyenlőre
elereszt,elerjeszt
erősödik,erősbödik
erősödik,erősködik
elborong,elborzong
ellenben,ellenében
ellenölt,ellentölt
elmosdik,elmosódik
elvackol,elvacakol
elvérzik,elvérezik
előfogat,előforgat
előpakol,előparkol
előreejt,előrelejt
előreejt,előresejt
előreölt,előretölt
emberség,emberiség
elaborál,elabortál
elnagyol,elnagyzol
elnyaral,elnyargal
elnyomat,elnyomtat
elszerez,elszervez
elszível,elszívlel
előkerül,előkergül
előlépet,előléptet
előterel,előterhel
háramlás,hőáramlás
hajított,hajlított
házgazda,házigazda
hányódik,hánykódik
hátraönt,hátradönt
hiányzik,hiányozik
hozzáölt,hozzákölt
hozzáölt,hozzátölt
hazaesik,hazaeszik
manapság,mainapság
megerjed,meggerjed
melenget,meglenget
magasság,magvasság
megalmoz,meghalmoz
megaszik,megbaszik
megcéloz,megacéloz
megedzet,megpedzet
megejtet,megfejtet
megejtet,megsejtet
megerjed,meggerjed
megérlel,megkérlel
megértés,megsértés
megeszel,megmeszel
megeszel,megneszel
megeszel,megreszel
megeszik,megveszik
megillan,megvillan
megingat,megfingat
megingat,megringat
meglapít,megalapít
meglapoz,megalapoz
meglapul,megalapul
megoldat,megtoldat
megoldoz,megfoldoz
megomlik,megbomlik
megomlik,megromlik
megordít,megfordít
megöltet,megköltet
megöltet,megtöltet
megöntet,megdöntet
megőszül,megbőszül
meztelen,mezítelen
mosatlan,mosdatlan
mosószer,mosdószer
megaszik,megalszik
megsoroz,megszoroz
megdögöl,megdöngöl
megdögöl,megdörgöl
megfogat,megforgat
meghalás,meghajlás
meghatás,meghajtás
megpakol,megpaskol
megpakol,megpatkol
megrezel,megreszel
megrohad,megrothad
megtetet,megtettet
megbánás,megbántás
meghajít,meghajlít
megjárat,megjártat
megkarol,megkarcol
megkarol,megkarmol
megkéret,megkérdet
megkerül,megkergül
megkreál,megkrepál
meglépet,megléptet
megmosat,megmosdat
megpárol,megpártol
megromol,megrombol
megterel,megterhel
megterel,megtermel
megterel,megtervel
megtetet,megtettet
megtolat,megtoldat
megtorol,megtorkol
megtöret,megtörtet
megtörül,megtörpül
megvonat,megvontat
mellékap,melléknap
mellékel,mellékjel
mongolid,mongoloid
shilling,schilling
somolyog,sompolyog
sarjerdő,sarjúerdő
semmiség,semmisség
sugárzik,sugározik
semmiség,semmisség
súlyosít,súlyosbít
aligátor,alligátor
aligátor,alligátor
alkonyul,alákonyul
átütöget,átsütöget
átzökken,átszökken
ágasodik,ágaskodik
alásínez,alászínez
átalszik,átaluszik
átereszt,áterjeszt
akarózik,akaródzik
aláfogat,aláforgat
átvérzik,átvérezik
aláhajít,aláhajlít
alákarol,alákarcol
átfolyat,átfolytat
áthallat,áthallgat
átnyaral,átnyargal
átnyomat,átnyomtat
átöltöik,átöltözik
átszelel,átszeldel
áttéteik,áttétetik
odaillan,odavillan
odaordít,odafordít
odaúszik,odakúszik
odalukad,odalyukad
okosodik,okoskodik
olívzöld,olívazöld
odafogat,odaforgat
odapakol,odaparkol
odapakol,odapaskol
olvastat,olvasztat
odadörög,odadörmög
odahajít,odahajlít
odalépet,odaléptet
odamorog,odamormog
odatolat,odatoldat
őrvezető,őrsvezető
csapszék,csapószék
csepegés,csepergés
csepegős,csepergős
csavarás,csavargás
édesedik,édeskedik
klerikus,kolerikus
