fitestvér,fiútestvér
fogalmazó,forgalmazó
felakaszt,felfakaszt
felereget,feltereget
felereszt,felmereszt
feloszlik,felfoszlik
felzökken,felszökken
felúsztat,felkúsztat
fölakaszt,fölfakaszt
fölereszt,fölmereszt
föloszlik,fölfoszlik
fölrendel,fölérendel
felületet,felültetet
finomodik,finomkodik
felhabzik,felhabozik
fölhabzik,fölhabozik
fellengős,fellengzős
felnyomat,felnyomtat
fiúgyerek,fiúgyermek
gyerekágy,gyermekágy
gyerekarc,gyermekarc
gyerekfej,gyermekfej
gyerekkor,gyermekkor
gyerekség,gyermekség
gyapjúsál,gyapjúszál
tejesedik,teljesedik
terelődik,termelődik
túláraszt,túlfáraszt
teleirkál,telefirkál
teleordít,telefordít
tovaúszik,tovakúszik
tekerőzik,tekergőzik
túlerősít,túlerdősít
tüzesedik,tüzeskedik
tajtékzik,tajtékozik
takarózik,takaródzik
tekerőzik,tekerődzik
telepakol,teleparkol
továbbont,továbbront
tenyészés,tenyésztés
tenyészet,tenyésztet
tisztelet,tiszteltet
idomtalan,ildomtalan
illesztet,illesztget
védangyal,védőangyal
védbástya,védőbástya
vidámodik,vidámkodik
vidámodik,vidámkodik
vonatozik,vonatkozik
vakarózik,vakaródzik
varrólány,varróleány
visszaejt,visszafejt
visszaejt,visszarejt
visszaold,visszatold
visszaölt,visszakölt
visszaölt,visszatölt
visszaönt,visszadönt
végigesik,végigeszik
vizsgálat,vizsgálgat
összhatás,összehatás
önzősödik,önzősködik
összeakar,összevakar
összeázik,összefázik
összeérez,összevérez
összeevez,összenevez
összeomol,összebomol
összegzés,összegezés
összeölel,összeöklel
összeágaz,összeágyaz
összeesik,összeeszik
összeugat,összeugrat
ráértődik,rásértődik
ráreccsen,ráfreccsen
rátolódik,rátorlódik
zajosodik,zajoskodik
lánykérés,leánykérés
leanyázik,letanyázik
leerjeszt,legerjeszt
leeszeget,lefeszeget
leöltözik,leköltözik
leöntöget,ledöntöget
lobosodik,lombosodik
lerohaszt,lerothaszt
lerágcsál,lerágicsál
lerázódik,lerázkódik
letörődik,letörlődik
levágódik,levágyódik
leverődik,levergődik
lelopózik,lelopódzik
lerakogat,lerakosgat
levelezik,leveledzik
lóbálózik,lóbálódzik
lúdbőrzik,lúdbőrözik
elanyázik,eltanyázik
elbattyog,előbattyog
elcikázik,előcikázik
elcsiszol,előcsiszol
elcsoszog,előcsoszog
elcsörtet,előcsörtet
elcsúszik,előcsúszik
eldarabol,elődarabol
eldübörög,elődübörög
elejteget,elrejteget
elejtődik,elfejtődik
elerjeszt,elterjeszt
elerjeszt,előerjeszt
elexponál,előexponál
elfekszik,előfekszik
elfinomít,előfinomít
elfáraszt,előfáraszt
elhajigál,előhajigál
elhajózik,előhajózik
elhangzik,előhangzik
elhasznál,előhasznál
elhazudik,előhazudik
elhuzigál,előhuzigál
elhívogat,előhívogat
elhúzogat,előhúzogat
elhúzódik,előhúzódik
elirányoz,előirányoz
eliskoláz,előiskoláz
eljegyzés,előjegyzés
eljátszik,előjátszik
eljövetel,előjövetel
elkalapál,előkalapál
elkanalaz,előkanalaz
elkapcsol,előkapcsol
elkerülés,előkerülés
elkészítő,előkészítő
elkönyvel,előkönyvel
elközelít,előközelít
ellopózik,előlopózik
ellovagol,előlovagol
ellátogat,előlátogat
elmelegít,előmelegít
elmenetel,előmenetel
elmerevít,előmerevít
elmoderál,előmoderál
elmosogat,előmosogat
elmutogat,előmutogat
elmászkál,előmászkál
elméretez,előméretez
elnyomtat,előnyomtat
eloldalog,előoldalog
elolvaszt,előolvaszt
elpaníroz,előpaníroz
elpattant,előpattant
elpiszkál,előpiszkál
elpusztít,előpusztít
elpöfékel,előpöfékel
elreccsen,elfreccsen
elrikkant,előrikkant
elsugároz,elősugároz
elszentel,előszentel
elszervez,előszervez
elszáguld,előszáguld
elszállít,előszállít
elszámlál,előszámlál
elszámláz,előszámláz
elsápaszt,elősápaszt
eltakarít,előtakarít
eltapogat,előtapogat
eltelepít,előtelepít
eltelepül,előtelepül
eltetszik,előtetszik
eltisztít,előtisztít
eltuszkol,előtuszkol
eltámogat,előtámogat
eltárgyal,előtárgyal
eltételez,előtételez
elvezérel,elővezérel
elvillant,elővillant
elvilágít,elővilágít
elvonszol,elővonszol
elválaszt,előválaszt
elválogat,előválogat
elvásárol,elővásárol
elvételez,elővételez
eláramlik,előáramlik
elérkezik,előérkezik
elértékel,előértékel
elöltözik,elköltözik
elünnepel,előünnepel
elpaníroz,elplaníroz
elplántál,elpalántál
elbulizik,elbumlizik
elrohaszt,elrothaszt
eltolódik,eltorlódik
elgépesít,elgépiesít
elhegesít,elhegyesít
ellenmond,ellentmond
elrágcsál,elrágicsál
eltörődik,eltörlődik
elverődik,elvergődik
elvágódik,elvágyódik
előreevez,előrenevez
ellapogat,ellapozgat
eltereget,elterelget
elveszett,elvesztett
emlékezet,emlékeztet
hatóanyag,hajtóanyag
hajókerék,hajtókerék
hasonelvű,haszonelvű
hegesedik,hegyesedik
heretikus,hermetikus
hitestárs,hitvestárs
hazaüldöz,hazaküldöz
hozzáárul,hozzájárul
hozzáárul,hozzázárul
harapózik,harapódzik
hozzáétet,hozzáértet
hazamenet,hazamentet
hozzáesik,hozzáeszik
hörpintet,hörpintget
megalapoz,megkalapoz
megapaszt,megtapaszt
megáraszt,megfáraszt
megoszlik,megfoszlik
megosztás,megfosztás
megosztat,megfosztat
megszeget,megeszeget
megütöget,megsütöget
megzökken,megszökken
moralitás,mortalitás
megédesít,megérdesít
megzendít,megzsendít
megzendül,megzsendül
megereszt,megerjeszt
megpaskol,megpacskol
megpiázik,megpipázik
megfiazik,megfiadzik
megmosdik,megmosódik
megfolyat,megfolytat
meghallat,meghallgat
meghányat,meghánytat
megmászat,megmásztat
megnyaral,megnyargal
megnyomat,megnyomtat
megöregít,megöregbít
megszerez,megszervez
megszível,megszívlel
megszopat,megszoptat
úrasszony,úriasszony
újralapoz,újraalapoz
újralapít,újraalapít
újralapoz,újraalapoz
újralapít,újraalapít
újrasoroz,újraszoroz
újrasorol,újrasorsol
síverseny,síkverseny
selyemsál,selyemszál
alaktalan,ablaktalan
álszakáll,állszakáll
áterjeszt,átterjeszt
álszakáll,állszakáll
árjegyzék,árujegyzék
átáramlik,átháramlik
áterjeszt,átterjeszt
átöltözés,átköltözés
átöltözik,átköltözik
átlukaszt,átlyukaszt
átplántál,átpalántál
anyaszerű,anyagszerű
átbulizik,átbumlizik
átnevesít,átnedvesít
agyonázik,agyonfázik
agyonitat,agyonvitat
átválogat,átváltogat
átverődik,átvergődik
átlapogat,átlapozgat
átlopózik,átlopódzik
átöntöget,átöntözget
amennyien,amennyiben
áthasonít,áthasonlít
odalopóik,odalopózik
odanyomat,odanyomtat
csődközel,csődközzel
csettenés,csettentés
csődközel,csődközzel
csökkenés,csökkentés
égetetlen,éghetetlen
ébresztet,ébresztget
kanalizál,kianalizál
költöztet,kiöltöztet
kiegyesít,kihegyesít
kierjeszt,kiterjeszt
kieszeget,kifeszeget
kitermelő,kistermelő
kiáltozik,kiváltozik
kiéreztet,kivéreztet
kiöltöget,kitöltöget
kiöltözik,kiköltözik
kiöntöget,kidöntöget
karcsapás,kardcsapás
kilukaszt,kilyukaszt
korosodik,kormosodik
kerekedik,kereskedik
kibulizik,kibumlizik
kirohaszt,kirothaszt
kitolódik,kitorlódik
kontaktus,kontraktus
kirázódik,kirázkódik
kitörődik,kitörlődik
kiverődik,kivergődik
kivágódik,kivágyódik
kiválogat,kiváltogat
körüléget,körülbéget
kapálózik,kapálódzik
kilopózik,kilopódzik
kitereget,kiterelget
kiöntöget,kiöntözget
kontinens,kontingens
közbeitat,közbeiktat
kapcsolat,kapcsolgat
keresztút,keresztkút
kicsinyég,kicsinység
kisgyerek,kisgyermek
kölcsönér,kölcsönkér
kölcsönér,kölcsönkér
kölcsönér,kölcsönmér
körülesik,körüleszik
beilleget,bebilleget
beöltözik,beköltözik
beciripel,becsiripel
bebulizik,bebumlizik
beleeszik,beleveszik
belelapoz,belealapoz
beleomlik,beleromlik
beleordít,belefordít
beleőszül,belebőszül
beletároz,beleltároz
beleúszik,belekúszik
beleüvölt,belesüvölt
betolódik,betorlódik
borogatás,borozgatás
bátorodik,bátorkodik
beleaszik,belealszik
berázódik,berázkódik
bevágódik,bevágyódik
beverődik,bevergődik
beborogat,beborozgat
begubózik,begubódzik
beledögöl,beledöngöl
beledögöl,beledörgöl
belefogat,beleforgat
belepakol,belepaskol
belerezel,belereszel
belerohad,belerothad
belopózik,belopódzik
betereget,beterelget
beledörög,beledörmög
belehajít,belehajlít
belekarol,belekarcol
belekarol,belekarmol
belemorog,belemormog
beleterel,beleterhel
bemártóik,bemártózik
ügyesedik,ügyeskedik
párosodás,pártosodás
peroráció,perforáció
pillantat,pillantgat
dühösödik,dühösködik
dobálózik,dobálódzik
dohányzik,dohányozik
dobálódik,dobálódzik
szeptikus,szkeptikus
széterjed,szétterjed
széntartó,szénatartó
szétaszik,szétbaszik
széterjed,szétterjed
szétomlik,szétbomlik
szétomlik,szétromlik
szétúszik,szétkúszik
szétaszik,szétalszik
szőlőkert,szőlőskert
szervizel,szervizzel
szétrágat,szétrángat
szétreked,szétrepked
szétrohad,szétrothad
szembesül,szembeszül
szemlélet,szemlélget
szemlélet,szemléltet
szervizel,szervizzel
szétreped,szétrepked
szétromol,szétrombol
szétterel,szétterhel
szétterel,széttermel
szétvágat,szétvágtat
szolgálat,szolgáltat
járszalag,járószalag
