felemelget,felemleget
fölemelget,fölemleget
tárgyatlan,tárgytalan
telenyomat,telenyomta
vasatlanít,vastalanít
végbezárat,végbezárta
végigvonat,végigvonta
összezárat,összezárta
leállítgat,elállítgat
learchivál,elarchivál
leárnyékol,elárnyékol
lebandukol,elbandukol
lebarangol,elbarangol
lebeszélés,elbeszélés
lebeszélte,elbeszélte
lebicsakol,elbicsakol
lebirizgál,elbirizgál
lebirkózik,elbirkózik
lebiztosít,elbiztosít
lebonyolít,elbonyolít
leborotvál,elborotvál
lebotorkál,elbotorkál
lebujdosik,elbujdosik
lebuszozik,elbuszozik
lecukrozik,elcukrozik
lecsalogat,elcsalogat
lecsapódik,elcsapódik
lecsattant,elcsattant
lecsipeget,elcsipeget
lecsippent,elcsippent
lecsomagol,elcsomagol
lecsövezik,elcsövezik
lecsúszkál,elcsúszkál
lecsusszan,elcsusszan
lecsúsztat,elcsúsztat
lecsutakol,elcsutakol
ledegradál,eldegradál
ledobálgat,eldobálgat
ledolgozik,eldolgozik
ledorombol,eldorombol
ledorongol,eldorongol
ledrogozik,eldrogozik
ledugaszol,eldugaszol
leegyenget,elegyenget
lefagyaszt,elfagyaszt
lefátyoloz,elfátyoloz
lefejlődik,elfejlődik
lefejtődik,elfejtődik
lefeleltet,elfeleltet
lefeneklik,elfeneklik
lefesteget,elfesteget
lefoglalás,elfoglalás
lefogyaszt,elfogyaszt
lefogyogat,elfogyogat
lefojtódik,elfojtódik
lefolyósít,elfolyósít
leforraszt,elforraszt
lefricskáz,elfricskáz
lefullaszt,elfullaszt
lefüggeszt,elfüggeszt
lefűrészel,elfűrészel
lefűszerez,elfűszerez
legyakorol,elgyakorol
legyalogol,elgyalogol
lehajtódik,elhajtódik
lehalászik,elhalászik
lehanyagol,elhanyagol
leharapdál,elharapdál
lehengerít,elhengerít
lehervaszt,elhervaszt
lehesseget,elhesseget
leigazodik,eligazodik
leiramodik,eliramodik
leismertet,elismertet
lejátszott,eljátszott
lekacsázik,elkacsázik
lekalauzol,elkalauzol
lekalimpál,elkalimpál
lekanyarít,elkanyarít
lekapargat,elkapargat
lekapirgál,elkapirgál
lekaristol,elkaristol
lekecmereg,elkecmereg
lekéredzik,elkéredzik
lekérődzik,elkérődzik
lekezdődik,elkezdődik
lekezeltet,elkezeltet
lekígyózik,elkígyózik
lekínlódik,elkínlódik
lekísértet,elkísértet
lekocsizik,elkocsizik
lekorlátoz,elkorlátoz
lekotródik,elkotródik
leköltözik,elköltözik
leköltözte,elköltözte
lekönyörög,elkönyörög
leköszörül,elköszörül
leközvetít,elközvetít
lekutyagol,elkutyagol
lekutyázik,elkutyázik
lelankaszt,ellankaszt
lelassúdik,ellassúdik
leleltároz,elleltároz
lelövöldöz,ellövöldöz
lelyukaszt,ellyukaszt
lemágnesez,elmágnesez
lemagyaráz,elmagyaráz
lemagyarít,elmagyarít
lemállaszt,elmállaszt
lemaszatol,elmaszatol
lemélyeszt,elmélyeszt
lemosolyog,elmosolyog
lemuzsikál,elmuzsikál
lenyalogat,elnyalogat
lenyelődik,elnyelődik
lenyisszan,elnyisszan
lenyomódik,elnyomódik
lenyomorít,elnyomorít
lenyugszik,elnyugszik
leolvastat,elolvastat
leosztódik,elosztódik
leosztogat,elosztogat
leóvakodik,elóvakodik
leöltöztet,elöltöztet
lepatakzik,elpatakzik
lepecsétel,elpecsétel
lependerít,elpenderít
lepihentet,elpihentet
leporlaszt,elporlaszt
lepottyant,elpottyant
leragadtat,elragadtat
lerágicsál,elrágicsál
lerakosgat,elrakosgat
leraktároz,elraktároz
leráncigál,elráncigál
lerázkódik,elrázkódik
lereteszel,elreteszel
lerohangál,elrohangál
lerothaszt,elrothaszt
lesavanyít,elsavanyít
leselejtez,elselejtez
lesétáltat,elsétáltat
lesilányít,elsilányít
lesilányul,elsilányul
leslattyog,elslattyog
leslisszol,elslisszol
lesodródik,elsodródik
lesorjázik,elsorjázik
lesorvaszt,elsorvaszt
lesöpröget,elsöpröget
lespriccel,elspriccel
lesprintel,elsprintel
leszabadít,elszabadít
leszabadul,elszabadul
leszabotál,elszabotál
leszakaszt,elszakaszt
leszalaszt,elszalaszt
leszámolás,elszámolás
leszedeget,elszedeget
leszégyell,elszégyell
leszeletel,elszeletel
leszelídül,elszelídül
leszemetel,elszemetel
leszerepel,elszerepel
leszigetel,elszigetel
leszippant,elszippant
leszivárog,elszivárog
leszívódik,elszívódik
leszopogat,elszopogat
leszóródik,elszóródik
leszusszan,elszusszan
leszürcsöl,elszürcsöl
letakargat,eltakargat
letámolyog,eltámolyog
letanácsol,eltanácsol
letántorog,eltántorog
letanyázik,eltanyázik
letaszigál,eltaszigál
letekerget,eltekerget
letekintet,eltekintet
leteltével,elteltével
letempózik,eltempózik
letenyerel,eltenyerel
letérképez,eltérképez
letessékel,eltessékel
letipródik,eltipródik
letitkosít,eltitkosít
letoloncol,eltoloncol
letornázik,eltornázik
letöltődik,eltöltődik
letöltöget,eltöltöget
letörlődik,eltörlődik
letörölget,eltörölget
letöröltet,eltöröltet
leturbékol,elturbékol
leturmixol,elturmixol
letükrözik,eltükrözik
letüsszent,eltüsszent
leülepedik,elülepedik
levadászik,elvadászik
levágyódik,elvágyódik
leválhatik,elválhatik
levámoltat,elvámoltat
levándorol,elvándorol
levarázsol,elvarázsol
levékonyít,elvékonyít
levergődik,elvergődik
levetkőzik,elvetkőzik
levezényel,elvezényel
leviharzik,elviharzik
levirágzik,elvirágzik
levonaglik,elvonaglik
levonultat,elvonultat
lezárkózik,elzárkózik
lezongoráz,elzongoráz
lezülleszt,elzülleszt
lezsugázik,elzsugázik
lezsugorít,elzsugorít
lezsűrizik,elzsűrizik
elarchivál,learchivál
elbandukol,lebandukol
elbarangol,lebarangol
elbeszélte,lebeszélte
elbeszélés,lebeszélés
elbicsakol,lebicsakol
elbirizgál,lebirizgál
elbirkózik,lebirkózik
elbiztosít,lebiztosít
elbonyolít,lebonyolít
elborotvál,leborotvál
elbotorkál,lebotorkál
elbujdosik,lebujdosik
elbuszozik,lebuszozik
elcsalogat,lecsalogat
elcsapódik,lecsapódik
elcsattant,lecsattant
elcsipeget,lecsipeget
elcsippent,lecsippent
elcsomagol,lecsomagol
elcsusszan,lecsusszan
elcsutakol,lecsutakol
elcsövezik,lecsövezik
elcsúszkál,lecsúszkál
elcsúsztat,lecsúsztat
elcukrozik,lecukrozik
eldegradál,ledegradál
eldobálgat,ledobálgat
eldolgozik,ledolgozik
eldorombol,ledorombol
eldorongol,ledorongol
eldrogozik,ledrogozik
eldugaszol,ledugaszol
elegyenget,leegyenget
elfagyaszt,lefagyaszt
elfejlődik,lefejlődik
elfejtődik,lefejtődik
elfeleltet,lefeleltet
elfeneklik,lefeneklik
elfesteget,lefesteget
elfoglalás,lefoglalás
elfogyaszt,lefogyaszt
elfogyogat,lefogyogat
elfojtódik,lefojtódik
elfolyósít,lefolyósít
elforraszt,leforraszt
elfricskáz,lefricskáz
elfullaszt,lefullaszt
elfátyoloz,lefátyoloz
elfűrészel,lefűrészel
elfűszerez,lefűszerez
elfüggeszt,lefüggeszt
elgyakorol,legyakorol
elgyalogol,legyalogol
elhajtódik,lehajtódik
elhalászik,lehalászik
elhanyagol,lehanyagol
elharapdál,leharapdál
elhengerít,lehengerít
elhervaszt,lehervaszt
elhesseget,lehesseget
eligazodik,leigazodik
eliramodik,leiramodik
elismertet,leismertet
eljátszott,lejátszott
elkacsázik,lekacsázik
elkalauzol,lekalauzol
elkalimpál,lekalimpál
elkanyarít,lekanyarít
elkapargat,lekapargat
elkapirgál,lekapirgál
elkaristol,lekaristol
elkecmereg,lekecmereg
elkezdődik,lekezdődik
elkezeltet,lekezeltet
elkocsizik,lekocsizik
elkorlátoz,lekorlátoz
elkotródik,lekotródik
elkutyagol,lekutyagol
elkutyázik,lekutyázik
elkéredzik,lekéredzik
elkérődzik,lekérődzik
elkígyózik,lekígyózik
elkínlódik,lekínlódik
elkísértet,lekísértet
elköltözik,leköltözik
elköltözte,leköltözte
elkönyörög,lekönyörög
elköszörül,leköszörül
elközvetít,leközvetít
ellankaszt,lelankaszt
ellassúdik,lelassúdik
elleltároz,leleltároz
ellyukaszt,lelyukaszt
ellövöldöz,lelövöldöz
elmagyaráz,lemagyaráz
elmagyarít,lemagyarít
elmaszatol,lemaszatol
elmosolyog,lemosolyog
elmuzsikál,lemuzsikál
elmágnesez,lemágnesez
elmállaszt,lemállaszt
elmélyeszt,lemélyeszt
elnyalogat,lenyalogat
elnyelődik,lenyelődik
elnyisszan,lenyisszan
elnyomorít,lenyomorít
elnyomódik,lenyomódik
elnyugszik,lenyugszik
elolvastat,leolvastat
elosztogat,leosztogat
elosztódik,leosztódik
elpatakzik,lepatakzik
elpecsétel,lepecsétel
elpenderít,lependerít
elpihentet,lepihentet
elporlaszt,leporlaszt
elpottyant,lepottyant
elragadtat,leragadtat
elrakosgat,lerakosgat
elraktároz,leraktároz
elreteszel,lereteszel
elrohangál,lerohangál
elrothaszt,lerothaszt
elrágicsál,lerágicsál
elráncigál,leráncigál
elrázkódik,lerázkódik
elsavanyít,lesavanyít
elselejtez,leselejtez
elsilányul,lesilányul
elsilányít,lesilányít
elslattyog,leslattyog
elslisszol,leslisszol
elsodródik,lesodródik
elsorjázik,lesorjázik
elsorvaszt,lesorvaszt
elspriccel,lespriccel
elsprintel,lesprintel
elszabadul,leszabadul
elszabadít,leszabadít
elszabotál,leszabotál
elszakaszt,leszakaszt
elszalaszt,leszalaszt
elszedeget,leszedeget
elszeletel,leszeletel
elszelídül,leszelídül
elszemetel,leszemetel
elszerepel,leszerepel
elszigetel,leszigetel
elszippant,leszippant
elszivárog,leszivárog
elszopogat,leszopogat
elszusszan,leszusszan
elszámolás,leszámolás
elszégyell,leszégyell
elszívódik,leszívódik
elszóródik,leszóródik
elszürcsöl,leszürcsöl
elsétáltat,lesétáltat
elsöpröget,lesöpröget
eltakargat,letakargat
eltanyázik,letanyázik
eltanácsol,letanácsol
eltaszigál,letaszigál
eltekerget,letekerget
eltekintet,letekintet
elteltével,leteltével
eltempózik,letempózik
eltenyerel,letenyerel
eltessékel,letessékel
eltipródik,letipródik
eltitkosít,letitkosít
eltoloncol,letoloncol
eltornázik,letornázik
elturbékol,leturbékol
elturmixol,leturmixol
eltámolyog,letámolyog
eltántorog,letántorog
eltérképez,letérképez
eltöltődik,letöltődik
eltöltöget,letöltöget
eltörlődik,letörlődik
eltörölget,letörölget
eltöröltet,letöröltet
eltükrözik,letükrözik
eltüsszent,letüsszent
elvadászik,levadászik
elvarázsol,levarázsol
elvergődik,levergődik
elvetkőzik,levetkőzik
elvezényel,levezényel
elviharzik,leviharzik
elvirágzik,levirágzik
elvonaglik,levonaglik
elvonultat,levonultat
elvágyódik,levágyódik
elválhatik,leválhatik
elvámoltat,levámoltat
elvándorol,levándorol
elvékonyít,levékonyít
elzongoráz,lezongoráz
elzsugorít,lezsugorít
elzsugázik,lezsugázik
elzsűrizik,lezsűrizik
elzárkózik,lezárkózik
elzülleszt,lezülleszt
elállítgat,leállítgat
elárnyékol,leárnyékol
elóvakodik,leóvakodik
elöltöztet,leöltöztet
elülepedik,leülepedik
megemelget,megemleget
újranyomat,újranyomta
sikeretlen,sikertelen
érzéketlen,érzéktelen
kifizetett,kifizettet
szétszórat,szétszórta
szükségelt,szükséglet
