ikes,kies
ikra,irka
illa,lila
redő,erdő
lapi,alpi
lead,elad
leás,elás
leég,elég
leél,elél
leér,elér
lefő,elfő
lefú,elfú
leír,elír
leír,lerí
lelő,ellő
lenő,elnő
leöl,elöl
lerí,elrí
leró,elró
leun,elun
leül,elül
leüt,elüt
leűz,elűz
lila,illa
ebír,beír
elad,lead
elem,elme
elfő,lefő
elfú,lefú
ellő,lelő
ellő,elől
elnő,lenő
elrí,lerí
elrí,elír
elró,leró
elun,leun
elás,leás
elég,leég
elél,leél
elér,leér
elír,leír
elöl,leöl
elűz,leűz
elül,leül
elüt,leüt
emse,mese
erdő,redő
erdő,erőd
eset,este
este,sete
mese,emse
sete,este
abba,baba
akta,atka
alél,allé
alpi,lapi
árad,ráad
árja,rája
átró,táró
érem,érme
kies,ikes
kirí,kiír
baba,abba
beír,ebír
beír,berí
üreg,ürge
