fellő,felől
felrí,felír
fogad,fogda
taraj,tarja
tudat,tudta
idegi,ideig
illik,lilik
vágat,vágta
varas,varsa
várat,várta
ökrös,körös
öltet,ötlet
redős,erdős
riksa,riska
lakat,alkat
lakat,lakta
leadó,eladó
leáld,eláld
leáll,eláll
leárt,elárt
lebír,elbír
lebőg,elbőg
lebök,elbök
lebúj,elbúj
lécel,élcel
ledob,eldob
ledől,eldől
ledug,eldug
ledűl,eldűl
leejt,elejt
leesd,elesd
lefal,elfal
lefed,elfed
lefér,elfér
lefog,elfog
lefon,elfon
leföd,elföd
lefőz,elfőz
lefúj,elfúj
lefúr,elfúr
lefut,elfut
lefűz,elfűz
lehal,elhal
lehat,elhat
lehív,elhív
lehoz,elhoz
lehúz,elhúz
lehűl,elhűl
lehűt,elhűt
leint,elint
lejár,eljár
lejön,eljön
lejut,eljut
lekap,elkap
lekel,elkel
leken,elken
lekér,elkér
leköp,elköp
leköt,elköt
lekúr,elkúr
lelát,ellát
lelel,ellel
lelep,ellep
lelép,ellép
leles,elles
lelet,ellet
lelóg,ellóg
lelop,ellop
lelök,ellök
lemar,elmar
lemer,elmer
lemér,elmér
lemos,elmos
leműt,elműt
lenéz,elnéz
lenyű,elnyű
leold,elold
leolt,elolt
leölt,elölt
leönt,elönt
lépet,lépte
lerág,elrág
lerak,elrak
leráz,elráz
lerúg,elrúg
lesír,elsír
lesóz,elsóz
lesúg,elsúg
lesül,elsül
lesüt,elsüt
lesző,elsző
letár,eltár
letép,eltép
letér,eltér
letol,eltol
letöm,eltöm
letör,eltör
letud,eltud
letúr,eltúr
letűr,eltűr
letűz,eltűz
levág,elvág
levár,elvár
levéd,elvéd
levél,elvél
lever,elver
levés,elvés
levet,elvet
levét,elvét
levon,elvon
lezár,elzár
lezúg,elzúg
lezúz,elzúz
lilik,illik
lovas,olvas
ebfog,befog
eladó,leadó
elbír,lebír
elbőg,lebőg
elbök,lebök
elbúj,lebúj
eldob,ledob
eldug,ledug
eldől,ledől
eldűl,ledűl
elejt,leejt
elesd,leesd
elfal,lefal
elfed,lefed
elfog,lefog
elfon,lefon
elfut,lefut
elfér,lefér
elfőz,lefőz
elföd,leföd
elfúj,lefúj
elfúr,lefúr
elfűz,lefűz
elhal,lehal
elhat,lehat
elhoz,lehoz
elhív,lehív
elhúz,lehúz
elhűl,lehűl
elhűt,lehűt
elint,leint
eljut,lejut
eljár,lejár
eljön,lejön
elkap,lekap
elkel,lekel
elken,leken
elkér,lekér
elköp,leköp
elköt,leköt
elkúr,lekúr
ellel,lelel
ellep,lelep
elles,leles
ellet,lelet
ellop,lelop
ellát,lelát
ellép,lelép
ellóg,lelóg
ellök,lelök
elmar,lemar
elmer,lemer
elmos,lemos
elmér,lemér
elműt,leműt
elnyű,lenyű
elnéz,lenéz
elold,leold
elolt,leolt
elrak,lerak
elrág,lerág
elráz,leráz
elrúg,lerúg
elsző,lesző
elsír,lesír
elsóz,lesóz
elsúg,lesúg
elsül,lesül
elsüt,lesüt
eltol,letol
eltud,letud
eltár,letár
eltép,letép
eltér,letér
eltöm,letöm
eltör,letör
eltúr,letúr
eltűr,letűr
eltűz,letűz
elver,lever
elvet,levet
elvon,levon
elvág,levág
elvár,levár
elvéd,levéd
elvél,levél
elvés,levés
elvét,levét
elzár,lezár
elzúg,lezúg
elzúz,lezúz
eláld,leáld
eláll,leáll
elárt,leárt
elölt,leölt
elönt,leönt
epres,peres
erdős,redős
esett,estet
hébér,éhbér
magnó,mangó
maris,marsi
mázas,mázsa
menet,mente
mienk,minek
aláír,alárí
alatt,altat
alkat,lakat
árkos,rákos
ártér,rátér
átráz,táráz
olvas,lovas
éhbér,hébér
élcel,lécel
érett,értet
kamra,karma
kapat,kapta
kéret,kérte
kelet,kelte
kilát,kiált
kilét,kiélt
kopra,korpa
köret,körte
körös,ökrös
befog,ebfog
berek,berke
görbe,göreb
peres,epres
piszi,pizsi
pocak,pocka
pokla,polka
járat,járta
