teleél,telelé
teremt,termet
trotil,trotli
iglice,gilice
vedelt,vedlet
vedres,verdes
ösvény,sövény
leadás,eladás
leadat,eladat
leágaz,elágaz
leájul,elájul
leakad,elakad
leakar,elakar
leapad,elapad
leárad,elárad
leásat,elásat
leázik,elázik
lebont,elbont
lebujt,elbujt
lecsal,elcsal
lecsap,elcsap
lecsen,elcsen
lecsíp,elcsíp
lecsuk,elcsuk
ledönt,eldönt
leéget,eléget
leemel,elemel
leépít,elépít
leépül,elépül
leesés,elesés
leesik,elesik
leetet,eletet
leevez,elevez
lefagy,elfagy
lefejt,elfejt
lefelé,elfelé
lefest,elfest
lefogy,elfogy
lefojt,elfojt
leforr,elforr
legyőz,elgyőz
legyúr,elgyúr
legyűr,elgyűr
lehagy,elhagy
lehajt,elhajt
lehánt,elhánt
lehány,elhány
lehint,elhint
lehisz,elhisz
lehord,elhord
lehull,elhull
lehuny,elhuny
leidéz,elidéz
leígér,elígér
leírás,elírás
leítél,elítél
leível,elível
leívik,elívik
leizél,elizél
lekérd,elkérd
lekezd,elkezd
lekölt,elkölt
leküld,elküld
leküzd,elküzd
lelejt,ellejt
leleng,elleng
lemárt,elmárt
lemegy,elmegy
lemenő,elmenő
lement,elment
lemond,elmond
lenéző,elnéző
lenyal,elnyal
lenyel,elnyel
lenyer,elnyer
lenyes,elnyes
lenyír,elnyír
lenyit,elnyit
lenyom,elnyom
lenyúz,elnyúz
leomol,elomol
leoson,eloson
leoszt,eloszt
leölel,elölel
leömöl,elömöl
leőröl,előröl
lepang,elpang
lepeng,elpeng
leránt,elránt
leront,elront
lesejt,elsejt
lesiet,elsiet
lesújt,elsújt
leszab,elszab
leszán,elszán
leszed,elszed
leszeg,elszeg
leszel,elszel
leszid,elszid
leszív,elszív
leszól,elszól
leszop,elszop
leszór,elszór
leszúr,elszúr
leszül,elszül
leszűr,elszűr
letart,eltart
letesz,eltesz
letett,eltett
letilt,eltilt
letölt,eltölt
letört,eltört
leugat,elugat
leújít,elújít
leural,elural
leuraz,eluraz
leutal,elutal
leutál,elutál
leüget,elüget
levált,elvált
levarr,elvarr
levesz,elvesz
levisz,elvisz
levonz,elvonz
lezáró,elzáró
lezeng,elzeng
eladat,leadat
eladás,leadás
elakad,leakad
elakar,leakar
elapad,leapad
elbont,lebont
elbujt,lebujt
elcsal,lecsal
elcsap,lecsap
elcsen,lecsen
elcsuk,lecsuk
elcsíp,lecsíp
eldönt,ledönt
elemel,leemel
elesik,leesik
elesés,leesés
eletet,leetet
elevez,leevez
elfagy,lefagy
elfejt,lefejt
elfelé,lefelé
elfest,lefest
elfogy,lefogy
elfojt,lefojt
elforr,leforr
elgyőz,legyőz
elgyúr,legyúr
elgyűr,legyűr
elhagy,lehagy
elhajt,lehajt
elhint,lehint
elhisz,lehisz
elhord,lehord
elhull,lehull
elhuny,lehuny
elhánt,lehánt
elhány,lehány
elidéz,leidéz
elizél,leizél
elkezd,lekezd
elkérd,lekérd
elkölt,lekölt
elküld,leküld
elküzd,leküzd
ellejt,lelejt
elleng,leleng
elmegy,lemegy
elment,lement
elmenő,lemenő
elmond,lemond
elmárt,lemárt
elnyal,lenyal
elnyel,lenyel
elnyer,lenyer
elnyes,lenyes
elnyit,lenyit
elnyom,lenyom
elnyír,lenyír
elnyúz,lenyúz
elnéző,lenéző
elomol,leomol
eloson,leoson
eloszt,leoszt
elpang,lepang
elpeng,lepeng
elront,leront
elránt,leránt
elsejt,lesejt
elsiet,lesiet
elszab,leszab
elszed,leszed
elszeg,leszeg
elszel,leszel
elszid,leszid
elszop,leszop
elszán,leszán
elszív,leszív
elszól,leszól
elszór,leszór
elszúr,leszúr
elszűr,leszűr
elszül,leszül
elsújt,lesújt
eltart,letart
eltesz,letesz
eltett,letett
eltilt,letilt
eltölt,letölt
eltört,letört
elugat,leugat
elural,leural
eluraz,leuraz
elutal,leutal
elutál,leutál
elvarr,levarr
elvesz,levesz
elvisz,levisz
elvonz,levonz
elvált,levált
elzeng,lezeng
elzáró,lezáró
elágaz,leágaz
elájul,leájul
elárad,leárad
elásat,leásat
elázik,leázik
eléget,leéget
elépít,leépít
elépül,leépül
elígér,leígér
elírás,leírás
elítél,leítél
elível,leível
elívik,leívik
előröl,leőröl
elölel,leölel
elömöl,leömöl
elújít,leújít
elüget,leüget
holnap,honlap
mászás,mázsás
megélt,meglét
molett,omlett
sövény,ösvény
aknász,kanász
apróka,paróka
áradás,ráadás
áradat,ráadat
árkász,rákász
árnyal,rányal
omlett,molett
cserél,cserlé
csutak,csutka
kanász,aknász
kantin,kantni
kilátó,kiáltó
bagázs,bagzás
bélelt,béllet
bicsak,bicska
boglár,bolgár
gilice,iglice
paróka,apróka
szemel,szemle
szórat,szórta
