feletet,felette
végezet,végezte
veszett,vesztet
leaggik,elaggik
leagyal,elagyal
leágyaz,elágyaz
leálcáz,elálcáz
leállás,elállás
leállít,elállít
lealtat,elaltat
leaprít,elaprít
leapróz,elapróz
leaszik,elaszik
leáztat,eláztat
lebámul,elbámul
lebékít,elbékít
lebénít,elbénít
lebénul,elbénul
lebiceg,elbiceg
lebírál,elbírál
lebomol,elbomol
leborít,elborít
leborul,elborul
lebotol,elbotol
lebődül,elbődül
lebújik,elbújik
lebukás,elbukás
lebukik,elbukik
lebutít,elbutít
lebutul,elbutul
lebúvik,elbúvik
lebűvöl,elbűvöl
lecibál,elcibál
lecikiz,elcikiz
lecipel,elcipel
lecitál,elcitál
lecseng,elcseng
ledadog,eldadog
ledarál,eldarál
ledobál,eldobál
ledobat,eldobat
ledobog,eldobog
ledöcög,eldöcög
ledörög,eldörög
ledudál,eldudál
ledugul,eldugul
ledumál,eldumál
leellik,elellik
leenged,elenged
leerjed,elerjed
leértet,elértet
leestet,elestet
leeszik,eleszik
lefalaz,elfalaz
lefárad,elfárad
lefarag,elfarag
lefarol,elfarol
lefaxol,elfaxol
lefedez,elfedez
lefejel,elfejel
lefékez,elfékez
lefelez,elfelez
lefésül,elfésül
lefikáz,elfikáz
lefizet,elfizet
lefogad,elfogad
lefogás,elfogás
lefogat,elfogat
lefogaz,elfogaz
leforog,elforog
lefoszt,elfoszt
lefotóz,elfotóz
lefőzet,elfőzet
lefújat,elfújat
lefülel,elfülel
legátol,elgátol
legázol,elgázol
legépel,elgépel
legörög,elgörög
legumiz,elgumiz
legurít,elgurít
legurul,elgurul
legyújt,elgyújt
lehadar,elhadar
lehajít,elhajít
lehajol,elhajol
lehalad,elhalad
leharap,elharap
lehárít,elhárít
lehárul,elhárul
lehasad,elhasad
lehasal,elhasal
lehasít,elhasít
lehatol,elhatol
lehavaz,elhavaz
lehever,elhever
lehígul,elhígul
lehitet,elhitet
lehívat,elhívat
lehízik,elhízik
lehozat,elhozat
lehőköl,elhőköl
lehörög,elhörög
lehuhog,elhuhog
lehúzat,elhúzat
leindít,elindít
leindul,elindul
leintéz,elintéz
leismer,elismer
leiszik,eliszik
lejárás,eljárás
lejárat,eljárat
lejárat,lejárta
lejavít,eljavít
lejegel,eljegel
lekábul,elkábul
lekacag,elkacag
lekajál,elkajál
lekapar,elkapar
lekapat,elkapat
lekapat,lekapta
lekapta,elkapta
lekárog,elkárog
lekavar,elkavar
lekefél,elkefél
leképez,elképez
lekeres,elkeres
lekéret,elkéret
lekerít,elkerít
lekerül,elkerül
lekésel,elkésel
lekésik,elkésik
lekever,elkever
lekezel,elkezel
lekiált,elkiált
lekísér,elkísér
lekíván,elkíván
lekoboz,elkoboz
lekocog,elkocog
lekódol,elkódol
lekókad,elkókad
lekopik,elkopik
lekopog,elkopog
lekotor,elkotor
leköhög,elköhög
lekötöz,elkötöz
lekövet,elkövet
lekövez,elkövez
lelakik,ellakik
lelapít,ellapít
lelapol,ellapol
lelapoz,ellapoz
lelapul,ellapul
lelazít,ellazít
lelazul,ellazul
lelebeg,ellebeg
lelegel,ellegel
lelehel,ellehel
lelehet,ellehet
lelibeg,ellibeg
lelódul,ellódul
lelógat,ellógat
lelohad,ellohad
lelopat,ellopat
lelődöz,ellődöz
lemarad,elmarad
lemarat,elmarat
lemásol,elmásol
lemázol,elmázol
lemenet,elmenet
lemered,elmered
lemerít,elmerít
lemerül,elmerül
lemesél,elmesél
lemetél,elmetél
lemetsz,elmetsz
lemorog,elmorog
lemosat,elmosat
lemozog,elmozog
lemúlik,elmúlik
lemutat,elmutat
leművel,elművel
lenémít,elnémít
lenevel,elnevel
lenevet,elnevet
lenevez,elnevez
lenézés,elnézés
lenézet,elnézet
lenyújt,elnyújt
leoldat,eloldat
leoldoz,eloldoz
leoltat,eloltat
leolvad,elolvad
leolvas,elolvas
leomlik,elomlik
leordít,elordít
leöblít,elöblít
leöklöz,elöklöz
leöldös,elöldös
leömlik,elömlik
leöntet,elöntet
leöntöz,elöntöz
lepakol,elpakol
lepárol,elpárol
lepereg,elpereg
leperel,elperel
lepihen,elpihen
lepipál,elpipál
lepirít,elpirít
lepirul,elpirul
lepofoz,elpofoz
leporol,elporol
leporoz,elporoz
lepöfög,elpöfög
lepörög,elpörög
lepucol,elpucol
lepuhít,elpuhít
lepuhul,elpuhul
lepüföl,elpüföl
lerabol,elrabol
leragad,elragad
lerakat,elrakat
lerámol,elrámol
lereked,elreked
leremeg,elremeg
lereped,elreped
lerepít,elrepít
lerepül,elrepül
lerobog,elrobog
lerohad,elrohad
lerohan,elrohan
leromol,elromol
leröhög,elröhög
leröpít,elröpít
leröpül,elröpül
lerudal,elrudal
lerúgat,elrúgat
lesápad,elsápad
lesároz,elsároz
lesegít,elsegít
leseper,elseper
lesétál,elsétál
lesíbol,elsíbol
lesikál,elsikál
lesimít,elsimít
lesimul,elsimul
lesípol,elsípol
lesodor,elsodor
lesöpör,elsöpör
lesuhan,elsuhan
lesúrol,elsúrol
lesuvad,elsuvad
lesüvít,elsüvít
leszáll,elszáll
leszánt,elszánt
letagad,eltagad
letágul,eltágul
letakar,eltakar
letalál,eltalál
letámad,eltámad
letanít,eltanít
letanul,eltanul
letapad,eltapad
letapos,eltapos
letarol,eltarol
letárol,eltárol
letehet,eltehet
letejel,eltejel
leteker,elteker
letelel,eltelel
letelik,eltelik
letelte,eltelte
letemet,eltemet
leteper,elteper
letépet,eltépet
leterel,elterel
leterem,elterem
leterít,elterít
letérít,eltérít
leterül,elterül
letetet,eltetet
letéved,eltéved
letevés,eltevés
letipeg,eltipeg
letipor,eltipor
letojik,eltojik
letolat,eltolat
letolul,eltolul
letömít,eltömít
letörés,eltörés
letöret,eltöret
letörik,eltörik
letöröl,eltöröl
letörül,eltörül
letúloz,eltúloz
letusol,eltusol
letűnik,eltűnik
leugrál,elugrál
leugrat,elugrat
leugrik,elugrik
leúszik,elúszik
leülhet,elülhet
leültet,elültet
leüttet,elüttet
