fellépet,fellépte
felvonat,felvonta
felállat,felállta
fizetett,fizettet
föllépet,föllépte
talapzat,talpazat
teológia,etológia
teológus,etológus
túllépet,túllépte
védetlen,védtelen
végetlen,végtelen
visszaír,visszarí
rányomat,rányomta
leadódik,eladódik
leadogat,eladogat
leakaszt,elakaszt
lealszik,elalszik
leapaszt,elapaszt
leáramol,eláramol
lebágyad,elbágyad
lebaktat,elbaktat
leballag,elballag
lebaltáz,elbaltáz
lebambul,elbambul
lebarmol,elbarmol
lebarnít,elbarnít
lebarnul,elbarnul
lebaszik,elbaszik
lebeszél,elbeszél
lebillen,elbillen
lebocsát,elbocsát
lebólint,elbólint
lebomlik,elbomlik
lebontat,elbontat
lebujtat,elbujtat
lebújtat,elbújtat
lebukkan,elbukkan
lebuktat,elbuktat
leburkol,elburkol
lecammog,elcammog
lecaplat,elcaplat
leciánoz,elciánoz
lecifráz,elcifráz
lecuppan,elcuppan
lecsábít,elcsábít
lecsapás,elcsapás
lecsapat,elcsapat
lecsapol,elcsapol
lecsatol,elcsatol
lecsavar,elcsavar
lecselez,elcselez
lecsepeg,elcsepeg
lecserél,elcserél
lecsigáz,elcsigáz
lecsinál,elcsinál
lecsitít,elcsitít
lecsitul,elcsitul
lecsobog,elcsobog
lecsókol,elcsókol
lecsomóz,elcsomóz
lecsorog,elcsorog
lecsődül,elcsődül
lecsöpög,elcsöpög
lecsukat,elcsukat
lecsurog,elcsurog
ledermed,eldermed
ledicsér,eldicsér
ledobban,eldobban
ledöbben,eldöbben
ledöglik,eldöglik
ledönget,eldönget
ledöngöl,eldöngöl
ledöntet,eldöntet
ledörgöl,eldörgöl
ledörmög,eldörmög
ledrótoz,eldrótoz
leduggat,elduggat
ledurran,eldurran
ledurvít,eldurvít
leelemez,elelemez
leénekel,elénekel
leereget,elereget
leereszt,elereszt
leernyőz,elernyőz
leerodál,elerodál
lefecseg,elfecseg
lefejtet,elfejtet
lefektet,elfektet
lefelejt,elfelejt
leferdít,elferdít
lefertőz,elfertőz
lefeslik,elfeslik
lefeszít,elfeszít
lefigyel,elfigyel
lefingik,elfingik
lefirkál,elfirkál
lefoglal,elfoglal
lefojtat,elfojtat
lefolyat,elfolyat
lefolyik,elfolyik
lefordít,elfordít
lefordul,elfordul
leforgat,elforgat
leformáz,elformáz
leforral,elforral
leföldel,elföldel
lefullad,elfullad
lefuttat,elfuttat
lefüstöl,elfüstöl
lefütyül,elfütyül
legombol,elgombol
legondol,elgondol
legörbít,elgörbít
legörbül,elgörbül
legördít,elgördít
legördül,elgördül
legörget,elgörget
legyaláz,elgyaláz
legyávul,elgyávul
legyötör,elgyötör
legyűrűz,elgyűrűz
lehajlás,elhajlás
lehajlik,elhajlik
lehajlít,elhajlít
lehajtat,elhajtat
lehalkít,elhalkít
lehalkul,elhalkul
lehamvad,elhamvad
lehangol,elhangol
lehantol,elhantol
lehányat,elhányat
leharcol,elharcol
leharsog,elharsog
lehátrál,elhátrál
lehelyez,elhelyez
lehervad,elhervad
lehibban,elhibban
lehiggad,elhiggad
lehirdet,elhirdet
lehordat,elhordat
lehullat,elhullat
lehullik,elhullik
lehuppan,elhuppan
lehurcol,elhurcol
lehúzgál,elhúzgál
lehülyít,elhülyít
lehülyül,elhülyül
lehümmög,elhümmög
leigazít,eligazít
leigazol,eligazol
leírogat,elírogat
lejárkál,eljárkál
lejegyez,eljegyez
lejelent,eljelent
lejuttat,eljuttat
lekapkod,elkapkod
lekarmol,elkarmol
lekaszál,elkaszál
lekattan,elkattan
leképzel,elképzel
lekérdez,elkérdez
lekerget,elkerget
lekering,elkering
lekészít,elkészít
lekészül,elkészül
leketyeg,elketyeg
lekezdet,elkezdet
lekiabál,elkiabál
lekísért,elkísért
lekoldul,elkoldul
lekonyul,elkonyul
lekoplal,elkoplal
lekoptat,elkoptat
lekorhad,elkorhad
lekószál,elkószál
leköpköd,elköpköd
leköszön,elköszön
leköttet,elköttet
lekullog,elkullog
lekurváz,elkurváz
lekussol,elkussol
lekúszik,elkúszik
leküldet,elküldet
lelágyít,ellágyít
lelágyul,ellágyul
lelandol,ellandol
lelankad,ellankad
lelassul,ellassul
lelazsál,ellazsál
lelebben,ellebben
lelendít,ellendít
lelendül,ellendül
lelépdel,ellépdel
lelépked,ellépked
leleplez,elleplez
leléptet,elléptet
lelibben,ellibben
lelocsol,ellocsol
lelopkod,ellopkod
lelökdös,ellökdös
lemállik,elmállik
lemaradt,elmaradt
lemászik,elmászik
lemélyed,elmélyed
lemélyít,elmélyít
lemélyül,elmélyül
lementet,elmentet
lemérgez,elmérgez
lemerült,elmerült
lemeszel,elmeszel
lemondás,elmondás
lemondat,elmondat
lemosdik,elmosdik
lemozdul,elmozdul
lemozgat,elmozgat
lemunkál,elmunkál
lenagyít,elnagyít
lenagyol,elnagyol
lenulláz,elnulláz
lenyálaz,elnyálaz
lenyaral,elnyaral
lenyelés,elnyelés
lenyelet,elnyelet
lenyílik,elnyílik
lenyomat,elnyomat
lenyomoz,elnyomoz
lenyomul,elnyomul
lenyűgöz,elnyűgöz
leolajoz,elolajoz
leoperál,eloperál
leörököl,elörököl
leözönöl,elözönöl
leparkol,elparkol
lepaskol,elpaskol
lepattan,elpattan
lepattog,elpattog
lepenget,elpenget
leperdül,elperdül
leperget,elperget
lepontoz,elpontoz
leporlad,elporlad
leporlik,elporlik
lepotyog,elpotyog
lepöcköl,elpöcköl
lepördül,elpördül
lepörget,elpörget
lepörköl,elpörköl
lepötyög,elpötyög
lepróbál,elpróbál
lepuffan,elpuffan
lepukkad,elpukkad
lepukkan,elpukkan
lepumpál,elpumpál
lepuskáz,elpuskáz
leragyog,elragyog
lerajzik,elrajzik
lerajzol,elrajzol
lerándul,elrándul
lerángat,elrángat
lereagál,elreagál
lerebben,elrebben
lerendel,elrendel
lerendez,elrendez
lereszel,elreszel
leriaszt,elriaszt
leritkul,elritkul
lerobban,elrobban
lerombol,elrombol
leromlik,elromlik
lerondít,elrondít
lerongál,elrongál
lerontat,elrontat
leroppan,elroppan
leroskad,elroskad
lerothad,elrothad
leröffen,elröffen
leröppen,elröppen
leröptet,elröptet
leruccan,elruccan
lerugdos,elrugdos
lerúgtat,elrúgtat
lesajnál,elsajnál
lesajtol,elsajtol
lesáncol,elsáncol
lesárgít,elsárgít
lesárgul,elsárgul
lesiklik,elsiklik
lesóhajt,elsóhajt
lesorvad,elsorvad
lespórol,elspórol
lesuhint,elsuhint
lesúlyoz,elsúlyoz
lesunyít,elsunyít
lesurran,elsurran
lesurrog,elsurrog
lesuttog,elsuttog
lesüpped,elsüpped
leszakad,elszakad
leszakít,elszakít
leszalad,elszalad
leszámít,elszámít
leszámol,elszámol
leszámoz,elszámoz
leszárad,elszárad
leszárít,elszárít
leszavaz,elszavaz
leszédít,elszédít
leszédül,elszédül
leszegel,elszegel
leszelel,elszelel
leszerel,elszerel
leszeret,elszeret
leszerez,elszerez
leszitál,elszitál
leszívat,elszívat
leszokik,elszokik
leszólás,elszólás
leszólít,elszólít
leszopat,leszopta
leszorít,elszorít
leszorul,elszorul
leszökik,elszökik
leszűkít,elszűkít
leszűkül,elszűkül
letalpal,eltalpal
letáncol,eltáncol
letapint,eltapint
letapsol,eltapsol
letaszít,eltaszít
letekint,eltekint
letépdes,eltépdes
letépked,eltépked
letérdel,eltérdel
leterhel,elterhel
leterjed,elterjed
letervez,eltervez
letesped,eltesped
letiltás,eltiltás
letiltat,eltiltat
letiprat,eltiprat
letompít,eltompít
letompul,eltompul
letorzít,eltorzít
