testetlen,testtelen
leaknásít,elaknásít
lealjasít,elaljasít
lealjasul,elaljasul
lealkudik,elalkudik
leálmodik,elálmodik
leanyázik,elanyázik
leáramlik,eláramlik
learaszol,elaraszol
leautózik,elautózik
lebattyog,elbattyog
lebénázik,elbénázik
lebetonoz,elbetonoz
lebillent,elbillent
lebitorol,elbitorol
leblokkol,elblokkol
lebocsájt,elbocsájt
lecsapkod,elcsapkod
lecsattan,elcsattan
lecsattog,elcsattog
lecsendül,elcsendül
lecseppen,elcseppen
lecsipked,elcsipked
lecsiszol,elcsiszol
lecsonkul,elcsonkul
lecsorbul,elcsorbul
lecsordul,elcsordul
lecsorgat,elcsorgat
lecsoszog,elcsoszog
lecsöppen,elcsöppen
lecsörtet,elcsörtet
lecsuklik,elcsuklik
lecsurgat,elcsurgat
lecsurran,elcsurran
lecsúszás,elcsúszás
lecsúszik,elcsúszik
lecsügged,elcsügged
ledarabol,eldarabol
lededikál,eldedikál
ledirigál,eldirigál
ledörzsöl,eldörzsöl
ledurrant,eldurrant
ledübörög,eldübörög
leecsetel,elecsetel
leegyezik,elegyezik
leéldegél,eléldegél
leenyeleg,elenyeleg
leerjeszt,elerjeszt
leérkezik,elérkezik
leértékel,elértékel
leeszeget,eleszeget
leevickél,elevickél
leexponál,elexponál
lefáraszt,elfáraszt
lefehérít,elfehérít
lefeketít,elfeketít
lefekszik,elfekszik
lefenekel,elfenekel
lefészkel,elfészkel
lefinomít,elfinomít
lefinomul,elfinomul
lefocizik,elfocizik
lefoglalt,elfoglalt
lefonnyad,elfonnyad
lefoszlik,elfoszlik
lefuvaroz,elfuvaroz
legörcsöl,elgörcsöl
legyengít,elgyengít
legyengül,elgyengül
legyilkol,elgyilkol
legyorsul,elgyorsul
legyöngít,elgyöngít
legyöngül,elgyöngül
lehajigál,elhajigál
lehajózik,elhajózik
lehajszol,elhajszol
lehallgat,elhallgat
lehangzik,elhangzik
lehasogat,elhasogat
lehasznál,elhasznál
lehatárol,elhatárol
lehatároz,elhatároz
lehazudik,elhazudik
lehegedül,elhegedül
lehívogat,elhívogat
lehullajt,elhullajt
lehuzigál,elhuzigál
lehúzódik,elhúzódik
lehúzogat,elhúzogat
leinteget,elinteget
leiramlik,eliramlik
leirányít,elirányít
leirányul,elirányul
leiskoláz,eliskoláz
leismétel,elismétel
leiszapol,eliszapol
lejárogat,eljárogat
lejátszat,eljátszat
lejátszik,eljátszik
lejegyzés,eljegyzés
lejöveszt,eljöveszt
lejövetel,eljövetel
lekalapál,elkalapál
lekanalaz,elkanalaz
lekapcsol,elkapcsol
lekattant,elkattant
lekattint,elkattint
lekavarog,elkavarog
lekávézik,elkávézik
lekeneget,elkeneget
leképeszt,elképeszt
lekerekít,elkerekít
lekeretez,elkeretez
lekettyen,elkettyen
lekoppant,elkoppant
lekoppint,elkoppint
lekortyol,elkortyol
lekönnyít,elkönnyít
lekönyvel,elkönyvel
lekötelez,elkötelez
lekötődik,elkötődik
lekukkant,elkukkant
lekuporog,elkuporog
lekülönít,elkülönít
lelanyhul,ellanyhul
lelapátol,ellapátol
lelapogat,ellapogat
lelaposít,ellaposít
lelátogat,ellátogat
lelebbent,ellebbent
lelegyint,ellegyint
lelépeget,ellépeget
leloccsan,elloccsan
